"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
24, 0.000000000000000e+00, 2.220446049250313e-16, 1.150936121569750e+05, 1.993811839095079e-01, 1.508733288120447e-02, 0.000000000000000e+00
25, 4.011887597850000e-03, 2.220446049250313e-16, 1.150611353483039e+05, 1.892471611199688e-01, 5.212538323986596e-03, 0.000000000000000e+00
26, 8.056205200680001e-03, 2.220446049250313e-16, 1.150729162823300e+05, 1.929232690501279e-01, 4.964860610557303e-03, 0.000000000000000e+00
27, 1.213422760060000e-02, 2.220446049250313e-16, 1.150717224223519e+05, 1.925507384746218e-01, 5.004628230075675e-03, 0.000000000000000e+00
28, 1.624726554020000e-02, 2.220446049250313e-16, 1.150715375619001e+05, 1.924930548502635e-01, 4.934769043410578e-03, 0.000000000000000e+00
29, 2.039666755470000e-02, 2.220446049250313e-16, 1.150708293870792e+05, 1.922720768641789e-01, 4.815776190922321e-03, 0.000000000000000e+00
30, 2.458382190520000e-02, 2.220446049250313e-16, 1.150701984450346e+05, 1.920751984971239e-01, 4.691755537174436e-03, 0.000000000000000e+00
31, 2.881015861120000e-02, 2.220446049250313e-16, 1.150696256650760e+05, 1.918964689546831e-01, 4.579714676097248e-03, 0.000000000000000e+00
32, 3.307715158840000e-02, 2.220446049250313e-16, 1.150691260992484e+05, 1.917405850581569e-01, 4.482343426943368e-03, 0.000000000000000e+00
33, 3.738632089750000e-02, 2.220446049250313e-16, 1.150686815656517e+05, 1.916018733502287e-01, 4.397731985423967e-03, 0.000000000000000e+00
34, 4.173923511390000e-02, 2.220446049250313e-16, 1.150682770837810e+05, 1.914756593327945e-01, 4.323220131275896e-03, 0.000000000000000e+00
35, 4.613751382460000e-02, 2.220446049250313e-16, 1.150679027275702e+05, 1.913588456886362e-01, 4.256498081244429e-03, 0.000000000000000e+00
36, 5.058283026210000e-02, 2.220446049250313e-16, 1.150675537077030e+05, 1.912499379654587e-01, 4.195875183136318e-03, 0.000000000000000e+00
37, 5.507691408390000e-02, 2.220446049250313e-16, 1.150672253835214e+05, 1.911474880981553e-01, 4.140261565072510e-03, 0.000000000000000e+00
38, 5.962155430870000e-02, 2.220446049250313e-16, 1.150669174042570e+05, 1.910513866334013e-01, 4.088936820717819e-03, 0.000000000000000e+00
39, 6.421860241959999e-02, 2.220446049250313e-16, 1.150666268746039e+05, 1.909607301235233e-01, 4.041326268875618e-03, 0.000000000000000e+00
40, 6.886997564640000e-02, 2.220446049250313e-16, 1.150663510265768e+05, 1.908746548499041e-01, 3.996931356838943e-03, 0.000000000000000e+00
41, 7.357766043930000e-02, 2.220446049250313e-16, 1.150660899308911e+05, 1.907931828784373e-01, 3.955375968147675e-03, 0.000000000000000e+00
42, 7.834371614890000e-02, 2.220446049250313e-16, 1.150658400487891e+05, 1.907152099796177e-01, 3.916348766325111e-03, 0.000000000000000e+00
43, 8.317027892560000e-02, 2.220446049250313e-16, 1.150656032893011e+05, 1.906413318448683e-01, 3.879569338393895e-03, 0.000000000000000e+00
44, 8.805956585650000e-02, 2.220446049250313e-16, 1.150653756640317e+05, 1.905703039402862e-01, 3.844788684485060e-03, 0.000000000000000e+00
45, 9.301387935570000e-02, 2.220446049250313e-16, 1.150651548658821e+05, 1.905014063616376e-01, 3.811747040431079e-03, 0.000000000000000e+00
46, 9.803561182770000e-02, 2.220446049250313e-16, 1.150649447829351e+05, 1.904358523414042e-01, 3.780195325760475e-03, 0.000000000000000e+00
47, 1.031272506240000e-01, 2.220446049250313e-16, 1.150647405179027e+05, 1.903721137359852e-01, 3.750046165137231e-03, 0.000000000000000e+00
48, 1.082913833170000e-01, 2.220446049250313e-16, 1.150645428225346e+05, 1.903104251203856e-01, 3.721206492379107e-03, 0.000000000000000e+00
49, 1.135307033110000e-01, 2.220446049250313e-16, 1.150643539617144e+05, 1.902514932260676e-01, 3.693572387112239e-03, 0.000000000000000e+00
