"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
24, 0.000000000000000e+00, 2.220446049250313e-16, 1.150936122146349e+05, 1.993812019016349e-01, 1.508730116709673e-02, 0.000000000000000e+00
25, 4.011887597850000e-03, 2.220446049250313e-16, 1.150611357238808e+05, 1.892472783144969e-01, 5.212480258581714e-03, 0.000000000000000e+00
26, 8.056205200680001e-03, 2.220446049250313e-16, 1.150729163754651e+05, 1.929232981118821e-01, 4.964789393346693e-03, 0.000000000000000e+00
27, 1.213422760060000e-02, 2.220446049250313e-16, 1.150717223530692e+05, 1.925507168557115e-01, 5.004553762947217e-03, 0.000000000000000e+00
28, 1.624726554020000e-02, 2.220446049250313e-16, 1.150715374641108e+05, 1.924930243362195e-01, 4.934699108077992e-03, 0.000000000000000e+00
29, 2.039666755470000e-02, 2.220446049250313e-16, 1.150708293179679e+05, 1.922720552987996e-01, 4.815713411057491e-03, 0.000000000000000e+00
30, 2.458382190520000e-02, 2.220446049250313e-16, 1.150701984132942e+05, 1.920751885928922e-01, 4.691699646528221e-03, 0.000000000000000e+00
31, 2.881015861120000e-02, 2.220446049250313e-16, 1.150696256646717e+05, 1.918964688285181e-01, 4.579664889815176e-03, 0.000000000000000e+00
32, 3.307715158840000e-02, 2.220446049250313e-16, 1.150691261214979e+05, 1.917405920008630e-01, 4.482298765355578e-03, 0.000000000000000e+00
33, 3.738632089750000e-02, 2.220446049250313e-16, 1.150686816052045e+05, 1.916018856922318e-01, 4.397691649663191e-03, 0.000000000000000e+00
34, 4.173923511390000e-02, 2.220446049250313e-16, 1.150682771393497e+05, 1.914756766723867e-01, 4.323183769687848e-03, 0.000000000000000e+00
35, 4.613751382460000e-02, 2.220446049250313e-16, 1.150679028000048e+05, 1.913588682910209e-01, 4.256465738955681e-03, 0.000000000000000e+00
36, 5.058283026210000e-02, 2.220446049250313e-16, 1.150675537909198e+05, 1.912499639323252e-01, 4.195846530575060e-03, 0.000000000000000e+00
37, 5.507691408390000e-02, 2.220446049250313e-16, 1.150672254701517e+05, 1.911475151301482e-01, 4.140235859979152e-03, 0.000000000000000e+00
38, 5.962155430870000e-02, 2.220446049250313e-16, 1.150669174915094e+05, 1.910514138595345e-01, 4.088913403168690e-03, 0.000000000000000e+00
39, 6.421860241959999e-02, 2.220446049250313e-16, 1.150666269588594e+05, 1.909607564145230e-01, 4.041304716535242e-03, 0.000000000000000e+00
40, 6.886997564640000e-02, 2.220446049250313e-16, 1.150663511090567e+05, 1.908746805868264e-01, 3.996911343844536e-03, 0.000000000000000e+00
41, 7.357766043930000e-02, 2.220446049250313e-16, 1.150660900105207e+05, 1.907932077259516e-01, 3.955357245617873e-03, 0.000000000000000e+00
42, 7.834371614890000e-02, 2.220446049250313e-16, 1.150658401252461e+05, 1.907152338371824e-01, 3.916331111597489e-03, 0.000000000000000e+00
43, 8.317027892560000e-02, 2.220446049250313e-16, 1.150656033622202e+05, 1.906413545984559e-01, 3.879552586722682e-03, 0.000000000000000e+00
44, 8.805956585650000e-02, 2.220446049250313e-16, 1.150653757315062e+05, 1.905703249949388e-01, 3.844772697269894e-03, 0.000000000000000e+00
45, 9.301387935570000e-02, 2.220446049250313e-16, 1.150651549317579e+05, 1.905014269174422e-01, 3.811731699273973e-03, 0.000000000000000e+00
46, 9.803561182770000e-02, 2.220446049250313e-16, 1.150649448451418e+05, 1.904358717522921e-01, 3.780180513563057e-03, 0.000000000000000e+00
47, 1.031272506240000e-01, 2.220446049250313e-16, 1.150647405773048e+05, 1.903721322717276e-01, 3.750031900610957e-03, 0.000000000000000e+00
48, 1.082913833170000e-01, 2.220446049250313e-16, 1.150645428813269e+05, 1.903104434658655e-01, 3.721192766106493e-03, 0.000000000000000e+00
49, 1.135307033110000e-01, 2.220446049250313e-16, 1.150643540174709e+05, 1.902515106242766e-01, 3.693559148369076e-03, 0.000000000000000e+00
50, 1.188480158220000e-01, 2.220446049250313e-16, 1.150641687439375e+05, 1.901936981024584e-01, 3.667025779100023e-03, 0.000000000000000e+00
51, 1.242462442510000e-01, 2.220446049250313e-16, 1.150639874926005e+05, 1.901371406617739e-01, 3.641491925222778e-03, 0.000000000000000e+00
52, 1.297284369870000e-01, 2.220446049250313e-16, 1.150638148203712e+05, 1.900832602351342e-01, 3.616876851759324e-03, 0.000000000000000e+00
53, 1.352977746630000e-01, 2.220446049250313e-16, 1.150636454250271e+05, 1.900304023236739e-01, 3.593110902506036e-03, 0.000000000000000e+00
54, 1.409575779210000e-01, 2.220446049250313e-16, 1.150634768629268e+05, 1.899778044165680e-01, 3.570121491634050e-03, 0.000000000000000e+00
55, 1.467113157020000e-01, 2.220446049250313e-16, 1.150633145483634e+05, 1.899271559830564e-01, 3.547846669435804e-03, 0.000000000000000e+00
56, 1.525626141330000e-01, 2.220446049250313e-16, 1.150631572547825e+05, 1.898780742906577e-01, 3.526239274468549e-03, 0.000000000000000e+00
57, 1.585152660350000e-01, 2.220446049250313e-16, 1.150630008789506e+05, 1.898292789715052e-01, 3.505251091751156e-03, 0.000000000000000e+00
58, 1.645732411200000e-01, 2.220446049250313e-16, 1.150628459581881e+05, 1.897809376903726e-01, 3.484831134698948e-03, 0.000000000000000e+00
59, 1.707406969350000e-01, 2.220446049250313e-16, 1.150626968917633e+05, 1.897344231894758e-01, 3.464940714232015e-03, 0.000000000000000e+00
60, 1.770219906140000e-01, 2.220446049250313e-16, 1.150625515841049e+05, 1.896890815693527e-01, 3.445551263569238e-03, 0.000000000000000e+00
61, 1.834216915030000e-01, 2.220446049250313e-16, 1.150624056179547e+05, 1.896435344742709e-01, 3.426626512662922e-03, 0.000000000000000e+00
62, 1.899445947530000e-01, 2.220446049250313e-16, 1.150622607763717e+05, 1.895983382877258e-01, 3.408126726938522e-03, 0.000000000000000e+00
63, 1.965957359540000e-01, 2.220446049250313e-16, 1.150621208745021e+05, 1.895546834831717e-01, 3.390025184148980e-03, 0.000000000000000e+00
64, 2.033804069020000e-01, 2.220446049250313e-16, 1.150619846747305e+05, 1.895121838766536e-01, 3.372304049578246e-03, 0.000000000000000e+00
65, 2.103041726230000e-01, 2.220446049250313e-16, 1.150618474113603e+05, 1.894693523861769e-01, 3.354937086935060e-03, 0.000000000000000e+00
66, 2.173728897500000e-01, 2.220446049250313e-16, 1.150617100398473e+05, 1.894264871509452e-01, 3.337892751888457e-03, 0.000000000000000e+00
67, 2.245927263960000e-01, 2.220446049250313e-16, 1.150615761379839e+05, 1.893847045808296e-01, 3.321149923196255e-03, 0.000000000000000e+00
68, 2.319701836540000e-01, 2.220446049250313e-16, 1.150614469412141e+05, 1.893443901822534e-01, 3.304698066382250e-03, 0.000000000000000e+00
69, 2.395121189030000e-01, 2.220446049250313e-16, 1.150613174563180e+05, 1.893039858770821e-01, 3.288520698507672e-03, 0.000000000000000e+00
70, 2.472257710730000e-01, 2.220446049250313e-16, 1.150611859145051e+05, 1.892629397341912e-01, 3.272591001180592e-03, 0.000000000000000e+00
71, 2.551187880890000e-01, 2.220446049250313e-16, 1.150610562243882e+05, 1.892224713921824e-01, 3.256888311313906e-03, 0.000000000000000e+00
72, 2.631992566980000e-01, 2.220446049250313e-16, 1.150609314351778e+05, 1.891835323229346e-01, 3.241405064491294e-03, 0.000000000000000e+00
73, 2.714757349350000e-01, 2.220446049250313e-16, 1.150608082058950e+05, 1.891450800115482e-01, 3.226133048334657e-03, 0.000000000000000e+00
74, 2.799572875080000e-01, 2.220446049250313e-16, 1.150606821314509e+05, 1.891057398995528e-01, 3.211051978529258e-03, 0.000000000000000e+00
