"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
24, 0.000000000000000e+00, 2.220446049250313e-16, 1.150936121873328e+05, 1.993811933823219e-01, 1.508693552167956e-02, 0.000000000000000e+00, -1.553245531187013e+02
25, 4.011887597850000e-03, 2.220446049250313e-16, 1.150611291518085e+05, 1.892452275732905e-01, 5.211291670625375e-03, 0.000000000000000e+00, -2.095397186203795e+01
26, 8.056205200680001e-03, 2.220446049250313e-16, 1.150729113032491e+05, 1.929217153839423e-01, 4.963440295705284e-03, 0.000000000000000e+00, -1.365092754648141e+01
27, 1.213422760060000e-02, 2.220446049250313e-16, 1.150717204874569e+05, 1.925501347123948e-01, 5.003521231722414e-03, 0.000000000000000e+00, -1.386814653538147e+01
28, 1.624726554020000e-02, 2.220446049250313e-16, 1.150715376705778e+05, 1.924930887619277e-01, 4.934023955695245e-03, 0.000000000000000e+00, -1.348337046633304e+01
29, 2.039666755470000e-02, 2.220446049250313e-16, 1.150708302908688e+05, 1.922723588815589e-01, 4.815269606216710e-03, 0.000000000000000e+00, -1.284108677728052e+01
30, 2.458382190520000e-02, 2.220446049250313e-16, 1.150701994683045e+05, 1.920755177969707e-01, 4.691374095394636e-03, 0.000000000000000e+00, -1.218825263208781e+01
31, 2.881015861120000e-02, 2.220446049250313e-16, 1.150696265772664e+05, 1.918967535934357e-01, 4.579397332923905e-03, 0.000000000000000e+00, -1.161299042339500e+01
32, 3.307715158840000e-02, 2.220446049250313e-16, 1.150691268692312e+05, 1.917408253226406e-01, 4.482063515159505e-03, 0.000000000000000e+00, -1.112425253351399e+01
33, 3.738632089750000e-02, 2.220446049250313e-16, 1.150686822206866e+05, 1.916020777464750e-01, 4.397478987399966e-03, 0.000000000000000e+00, -1.070804251415825e+01
34, 4.173923511390000e-02, 2.220446049250313e-16, 1.150682776639196e+05, 1.914758403585226e-01, 4.322989821116153e-03, 0.000000000000000e+00, -1.034806490545910e+01
35, 4.613751382460000e-02, 2.220446049250313e-16, 1.150679032733778e+05, 1.913590160017364e-01, 4.256288156987353e-03, 0.000000000000000e+00, -1.003093196005244e+01
36, 5.058283026210000e-02, 2.220446049250313e-16, 1.150675542231700e+05, 1.912500988111440e-01, 4.195683296477364e-03, 0.000000000000000e+00, -9.747053651671518e+00
37, 5.507691408390000e-02, 2.220446049250313e-16, 1.150672258714343e+05, 1.911476403458769e-01, 4.140085134357486e-03, 0.000000000000000e+00, -9.490206406175128e+00
38, 5.962155430870000e-02, 2.220446049250313e-16, 1.150669178631209e+05, 1.910515298166960e-01, 4.088773490090506e-03, 0.000000000000000e+00, -9.256205012741876e+00
39, 6.421860241959999e-02, 2.220446049250313e-16, 1.150666273054319e+05, 1.909608645585553e-01, 4.041174102729686e-03, 0.000000000000000e+00, -9.041746688653205e+00
40, 6.886997564640000e-02, 2.220446049250313e-16, 1.150663514319630e+05, 1.908747813460867e-01, 3.996788931026725e-03, 0.000000000000000e+00, -8.844032486893500e+00
41, 7.357766043930000e-02, 2.220446049250313e-16, 1.150660903169771e+05, 1.907933033522398e-01, 3.955242215485269e-03, 0.000000000000000e+00, -8.660943191339724e+00
42, 7.834371614890000e-02, 2.220446049250313e-16, 1.150658404159545e+05, 1.907153245494450e-01, 3.916222726186003e-03, 0.000000000000000e+00, -8.490736911525893e+00
43, 8.317027892560000e-02, 2.220446049250313e-16, 1.150656036427149e+05, 1.906414421236669e-01, 3.879450225696663e-03, 0.000000000000000e+00, -8.331877788146937e+00
44, 8.805956585650000e-02, 2.220446049250313e-16, 1.150653760131366e+05, 1.905704128745427e-01, 3.844675857965756e-03, 0.000000000000000e+00, -8.183032311875989e+00
45, 9.301387935570000e-02, 2.220446049250313e-16, 1.150651551921832e+05, 1.905015081802303e-01, 3.811639880278418e-03, 0.000000000000000e+00, -8.042871522538057e+00
