"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
24, 0.000000000000000e+00, 2.220446049250313e-16, 1.150936138143035e+05, 1.993817010602341e-01, 1.508734317717088e-02, 0.000000000000000e+00, -1.553303840772629e+02
25, 4.011887597850000e-03, 2.220446049250313e-16, 1.150611345959392e+05, 1.892469263530303e-01, 5.212559788590931e-03, 0.000000000000000e+00, -2.096101776526591e+01
26, 8.056205200680001e-03, 2.220446049250313e-16, 1.150729162465259e+05, 1.929232578778705e-01, 4.964877548529869e-03, 0.000000000000000e+00, -1.365885809787478e+01
27, 1.213422760060000e-02, 2.220446049250313e-16, 1.150717222869977e+05, 1.925506962388655e-01, 5.004638501513232e-03, 0.000000000000000e+00, -1.387434858007331e+01
28, 1.624726554020000e-02, 2.220446049250313e-16, 1.150715374596875e+05, 1.924930229559688e-01, 4.934775221456611e-03, 0.000000000000000e+00, -1.348748035713895e+01
29, 2.039666755470000e-02, 2.220446049250313e-16, 1.150708292952641e+05, 1.922720482143399e-01, 4.815780249217579e-03, 0.000000000000000e+00, -1.284381338534943e+01
30, 2.458382190520000e-02, 2.220446049250313e-16, 1.150701983624277e+05, 1.920751727205698e-01, 4.691758245563954e-03, 0.000000000000000e+00, -1.219025172206836e+01
31, 2.881015861120000e-02, 2.220446049250313e-16, 1.150696255876437e+05, 1.918964447928102e-01, 4.579716321879804e-03, 0.000000000000000e+00, -1.161461096564910e+01
32, 3.307715158840000e-02, 2.220446049250313e-16, 1.150691260252727e+05, 1.917405619748737e-01, 4.482344185710463e-03, 0.000000000000000e+00, -1.112564806349084e+01
33, 3.738632089750000e-02, 2.220446049250313e-16, 1.150686814955505e+05, 1.916018514759142e-01, 4.397732024187159e-03, 0.000000000000000e+00, -1.070927678997793e+01
34, 4.173923511390000e-02, 2.220446049250313e-16, 1.150682770178981e+05, 1.914756387747649e-01, 4.323219611159536e-03, 0.000000000000000e+00, -1.034916671461697e+01
35, 4.613751382460000e-02, 2.220446049250313e-16, 1.150679026646619e+05, 1.913588260588019e-01, 4.256497141835661e-03, 0.000000000000000e+00, -1.003191845485341e+01
36, 5.058283026210000e-02, 2.220446049250313e-16, 1.150675536484642e+05, 1.912499194806592e-01, 4.195873937153823e-03, 0.000000000000000e+00, -9.747940678937235e+00
37, 5.507691408390000e-02, 2.220446049250313e-16, 1.150672253278865e+05, 1.911474707379162e-01, 4.140260100221730e-03, 0.000000000000000e+00, -9.491009687149374e+00
38, 5.962155430870000e-02, 2.220446049250313e-16, 1.150669173521609e+05, 1.910513703773845e-01, 4.088935203528949e-03, 0.000000000000000e+00, -9.256938214899119e+00
39, 6.421860241959999e-02, 2.220446049250313e-16, 1.150666268259158e+05, 1.909607149309620e-01, 4.041324549993998e-03, 0.000000000000000e+00, -9.042420853590000e+00
40, 6.886997564640000e-02, 2.220446049250313e-16, 1.150663509811049e+05, 1.908746406609146e-01, 3.996929573084384e-03, 0.000000000000000e+00, -8.844655776754479e+00
41, 7.357766043930000e-02, 2.220446049250313e-16, 1.150660898883994e+05, 1.907931696193867e-01, 3.955374146497099e-03, 0.000000000000000e+00, -8.661521770922173e+00
42, 7.834371614890000e-02, 2.220446049250313e-16, 1.150658400089251e+05, 1.907151975404968e-01, 3.916346927156623e-03, 0.000000000000000e+00, -8.491276208836732e+00
43, 8.317027892560000e-02, 2.220446049250313e-16, 1.150656032517326e+05, 1.906413201220526e-01, 3.879567496145026e-03, 0.000000000000000e+00, -8.332382195672039e+00
44, 8.805956585650000e-02, 2.220446049250313e-16, 1.150653756280667e+05, 1.905702927178216e-01, 3.844786847545508e-03, 0.000000000000000e+00, -8.183505418220742e+00
45, 9.301387935570000e-02, 2.220446049250313e-16, 1.150651548325607e+05, 1.905013959640568e-01, 3.811745213716511e-03, 0.000000000000000e+00, -8.043316640597741e+00
46, 9.803561182770000e-02, 2.220446049250313e-16, 1.150649447513908e+05, 1.904358424983593e-01, 3.780193511993822e-03, 0.000000000000000e+00, -7.910576029111096e+00
47, 1.031272506240000e-01, 2.220446049250313e-16, 1.150647404875688e+05, 1.903721042706136e-01, 3.750044369207181e-03, 0.000000000000000e+00, -7.784769709767239e+00
