"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
24, 0.000000000000000e+00, 2.220446049250313e-16, 1.149156206012148e+05, 1.438409212966392e-01, 1.256928877372994e-02, 0.000000000000000e+00, -1.044477596610977e+02
25, 4.011887597850000e-03, 2.220446049250313e-16, 1.148845351247271e+05, 1.341410480627684e-01, 3.409835464142210e-03, 0.000000000000000e+00, -1.133074460803822e+01
26, 8.056205200680001e-03, 2.220446049250313e-16, 1.148929164354309e+05, 1.367563417801418e-01, 2.619810854925636e-03, 0.000000000000000e+00, -3.787883958481759e+00
27, 1.213422760060000e-02, 2.220446049250313e-16, 1.148918963715235e+05, 1.364380423133098e-01, 2.304260393582410e-03, 0.000000000000000e+00, -2.929012157415458e+00
28, 1.624726554020000e-02, 2.220446049250313e-16, 1.148924638684642e+05, 1.366151233494779e-01, 2.076536020946508e-03, 0.000000000000000e+00, -2.378922388913930e+00
29, 2.039666755470000e-02, 2.220446049250313e-16, 1.148920437411706e+05, 1.364840273538349e-01, 1.892662262630945e-03, 0.000000000000000e+00, -1.976397170288788e+00
30, 2.458382190520000e-02, 2.220446049250313e-16, 1.148907041176794e+05, 1.360660129138405e-01, 1.736830419090203e-03, 0.000000000000000e+00, -1.664370268622075e+00
31, 2.881015861120000e-02, 2.220446049250313e-16, 1.148889923600147e+05, 1.355318781914275e-01, 1.615003263244224e-03, 0.000000000000000e+00, -1.439394332074002e+00
32, 3.307715158840000e-02, 2.220446049250313e-16, 1.148885325466030e+05, 1.353883985890975e-01, 1.559710425282120e-03, 0.000000000000000e+00, -1.342062263595921e+00
33, 3.738632089750000e-02, 2.220446049250313e-16, 1.148911469695494e+05, 1.362041998579110e-01, 1.637507123354580e-03, 0.000000000000000e+00, -1.509431374504991e+00
34, 4.173923511390000e-02, 2.220446049250313e-16, 1.148971852970173e+05, 1.380883920145151e-01, 1.943443553334671e-03, 0.000000000000000e+00, -2.195059358228296e+00
35, 4.613751382460000e-02, 2.220446049250313e-16, 1.149050304465256e+05, 1.405363826625574e-01, 2.557877528659453e-03, 0.000000000000000e+00, -4.388301539418872e+00
36, 5.058283026210000e-02, 2.220446049250313e-16, 1.149106905939142e+05, 1.423025679798664e-01, 3.345804168250093e-03, 0.000000000000000e+00, -8.549366711670926e+00
37, 5.507691408390000e-02, 2.220446049250313e-16, 1.149120368359176e+05, 1.427226476521354e-01, 3.963241873934927e-03, 0.000000000000000e+00, -1.212280234058599e+01
38, 5.962155430870000e-02, 2.220446049250313e-16, 1.149106863313412e+05, 1.423012378919061e-01, 4.273041683319555e-03, 0.000000000000000e+00, -1.384396440230014e+01
39, 6.421860241959999e-02, 2.220446049250313e-16, 1.149086242908518e+05, 1.416578013546518e-01, 4.363380445226001e-03, 0.000000000000000e+00, -1.425989723693266e+01
40, 6.886997564640000e-02, 2.220446049250313e-16, 1.149067495570827e+05, 1.410728117723019e-01, 4.351980535855973e-03, 0.000000000000000e+00, -1.410867648391999e+01
41, 7.357766043930000e-02, 2.220446049250313e-16, 1.149052642252513e+05, 1.406093306839437e-01, 4.305355192918762e-03, 0.000000000000000e+00, -1.377662759457828e+01
42, 7.834371614890000e-02, 2.220446049250313e-16, 1.149041299340787e+05, 1.402553878840421e-01, 4.250463233635681e-03, 0.000000000000000e+00, -1.341404604248248e+01
43, 8.317027892560000e-02, 2.220446049250313e-16, 1.149032679029302e+05, 1.399864007617956e-01, 4.196641710379549e-03, 0.000000000000000e+00, -1.307138116112455e+01
44, 8.805956585650000e-02, 2.220446049250313e-16, 1.149026107104991e+05, 1.397813312569229e-01, 4.146742727525363e-03, 0.000000000000000e+00, -1.276258506828737e+01
45, 9.301387935570000e-02, 2.220446049250313e-16, 1.149021087469043e+05, 1.396246991641358e-01, 4.101080430821782e-03, 0.000000000000000e+00, -1.248625703387835e+01
46, 9.803561182770000e-02, 2.220446049250313e-16, 1.149017204465631e+05, 1.395035344109662e-01, 4.059083439487318e-03, 0.000000000000000e+00, -1.223590286933720e+01
47, 1.031272506240000e-01, 2.220446049250313e-16, 1.149014204879709e+05, 1.394099357067296e-01, 4.020207332523519e-03, 0.000000000000000e+00, -1.200761470202507e+01
48, 1.082913833170000e-01, 2.220446049250313e-16, 1.149011891675054e+05, 1.393377547577584e-01, 3.983848548691443e-03, 0.000000000000000e+00, -1.179574827795607e+01
49, 1.135307033110000e-01, 2.220446049250313e-16, 1.149010149438093e+05, 1.392833902133649e-01, 3.949708047921927e-03, 0.000000000000000e+00, -1.159908952866401e+01
50, 1.188480158220000e-01, 2.220446049250313e-16, 1.149008873409393e+05, 1.392435731732758e-01, 3.917469318959949e-03, 0.000000000000000e+00, -1.141470044679712e+01
51, 1.242462442510000e-01, 2.220446049250313e-16, 1.149007995929009e+05, 1.392161923850485e-01, 3.886938924960956e-03, 0.000000000000000e+00, -1.124156926141730e+01
52, 1.297284369870000e-01, 2.220446049250313e-16, 1.149007468421520e+05, 1.391997321072913e-01, 3.857888757869769e-03, 0.000000000000000e+00, -1.107802721925175e+01
53, 1.352977746630000e-01, 2.220446049250313e-16, 1.149007232869197e+05, 1.391923819620248e-01, 3.830102955509685e-03, 0.000000000000000e+00, -1.092237311624583e+01
54, 1.409575779210000e-01, 2.220446049250313e-16, 1.149007286966918e+05, 1.391940700205637e-01, 3.803502881572599e-03, 0.000000000000000e+00, -1.077440048081059e+01
55, 1.467113157020000e-01, 2.220446049250313e-16, 1.149007592352107e+05, 1.392035992218260e-01, 3.777995185086538e-03, 0.000000000000000e+00, -1.063326480298461e+01
56, 1.525626141330000e-01, 2.220446049250313e-16, 1.149008132813877e+05, 1.392204637233522e-01, 3.753509567246838e-03, 0.000000000000000e+00, -1.049856711069190e+01
57, 1.585152660350000e-01, 2.220446049250313e-16, 1.149008902849330e+05, 1.392444918133925e-01, 3.729963174026029e-03, 0.000000000000000e+00, -1.036974967656305e+01
58, 1.645732411200000e-01, 2.220446049250313e-16, 1.149009871134611e+05, 1.392747060663060e-01, 3.707260072705666e-03, 0.000000000000000e+00, -1.024610472410497e+01
59, 1.707406969350000e-01, 2.220446049250313e-16, 1.149011039936737e+05, 1.393111772217525e-01, 3.685336421599399e-03, 0.000000000000000e+00, -1.012729554704831e+01
60, 1.770219906140000e-01, 2.220446049250313e-16, 1.149012410010568e+05, 1.393539288343688e-01, 3.664130520617040e-03, 0.000000000000000e+00, -1.001294224477990e+01
61, 1.834216915030000e-01, 2.220446049250313e-16, 1.149013956009735e+05, 1.394021699991494e-01, 3.643569579637589e-03, 0.000000000000000e+00, -9.902525579676412e+00
62, 1.899445947530000e-01, 2.220446049250313e-16, 1.149015677198582e+05, 1.394558777608151e-01, 3.623605523488122e-03, 0.000000000000000e+00, -9.795780217147900e+00
63, 1.965957359540000e-01, 2.220446049250313e-16, 1.149017587644247e+05, 1.395154910686127e-01, 3.604202358333034e-03, 0.000000000000000e+00, -9.692533512721011e+00
64, 2.033804069020000e-01, 2.220446049250313e-16, 1.149019671832428e+05, 1.395805258161177e-01, 3.585304653981504e-03, 0.000000000000000e+00, -9.592380596995211e+00
65, 2.103041726230000e-01, 2.220446049250313e-16, 1.149021917544550e+05, 1.396506007365066e-01, 3.566870776270830e-03, 0.000000000000000e+00, -9.495072204321644e+00
66, 2.173728897500000e-01, 2.220446049250313e-16, 1.149024348264064e+05, 1.397264486044565e-01, 3.548879056445644e-03, 0.000000000000000e+00, -9.400539351294734e+00
67, 2.245927263960000e-01, 2.220446049250313e-16, 1.149026964076542e+05, 1.398080720901075e-01, 3.531291752388466e-03, 0.000000000000000e+00, -9.308514672586936e+00
68, 2.319701836540000e-01, 2.220446049250313e-16, 1.149029743046022e+05, 1.398947867064614e-01, 3.514069263444369e-03, 0.000000000000000e+00, -9.218744562690786e+00
69, 2.395121189030000e-01, 2.220446049250313e-16, 1.149032697483175e+05, 1.399869765941395e-01, 3.497189577266419e-03, 0.000000000000000e+00, -9.131126790655321e+00
70, 2.472257710730000e-01, 2.220446049250313e-16, 1.149035850831194e+05, 1.400853732716400e-01, 3.480636244882435e-03, 0.000000000000000e+00, -9.045584797541913e+00
71, 2.551187880890000e-01, 2.220446049250313e-16, 1.149039191467522e+05, 1.401896140701174e-01, 3.464377912893292e-03, 0.000000000000000e+00, -8.961897931479996e+00
72, 2.631992566980000e-01, 2.220446049250313e-16, 1.149042710674029e+05, 1.402994269501336e-01, 3.448387352767238e-03, 0.000000000000000e+00, -8.879911384038005e+00
