"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
24, 0.000000000000000e+00, 2.220446049250313e-16, 1.150865367857865e+05, 1.971733939263597e-01, 1.215408780247276e-02, 0.000000000000000e+00
25, 4.011887597850000e-03, 2.220446049250313e-16, 1.150568636390676e+05, 1.879142223084571e-01, 3.273625172567826e-03, 0.000000000000000e+00
26, 8.056205200680001e-03, 2.220446049250313e-16, 1.150646653561154e+05, 1.903486603458002e-01, 2.513242559756402e-03, 0.000000000000000e+00
27, 1.213422760060000e-02, 2.220446049250313e-16, 1.150635138476876e+05, 1.899893450950952e-01, 2.209637393175815e-03, 0.000000000000000e+00
28, 1.624726554020000e-02, 2.220446049250313e-16, 1.150637298363754e+05, 1.900567419353184e-01, 1.988758285550341e-03, 0.000000000000000e+00
29, 2.039666755470000e-02, 2.220446049250313e-16, 1.150628255486525e+05, 1.897745691243994e-01, 1.808309148042657e-03, 0.000000000000000e+00
30, 2.458382190520000e-02, 2.220446049250313e-16, 1.150610228516677e+05, 1.892120578101991e-01, 1.655390112915746e-03, 0.000000000000000e+00
31, 2.881015861120000e-02, 2.220446049250313e-16, 1.150592487302677e+05, 1.886584631857496e-01, 1.542947257162293e-03, 0.000000000000000e+00
32, 3.307715158840000e-02, 2.220446049250313e-16, 1.150594798034046e+05, 1.887305669586044e-01, 1.518779873630864e-03, 0.000000000000000e+00
33, 3.738632089750000e-02, 2.220446049250313e-16, 1.150634600802219e+05, 1.899725675623097e-01, 1.675675429230821e-03, 0.000000000000000e+00
34, 4.173923511390000e-02, 2.220446049250313e-16, 1.150706957898748e+05, 1.922303893595083e-01, 2.130665210675915e-03, 0.000000000000000e+00
35, 4.613751382460000e-02, 2.220446049250313e-16, 1.150782788851672e+05, 1.945966089375036e-01, 2.916727894472516e-03, 0.000000000000000e+00
36, 5.058283026210000e-02, 2.220446049250313e-16, 1.150817318954963e+05, 1.956740819651576e-01, 3.711385692695235e-03, 0.000000000000000e+00
37, 5.507691408390000e-02, 2.220446049250313e-16, 1.150810738897936e+05, 1.954687586880258e-01, 4.192497143509433e-03, 0.000000000000000e+00
38, 5.962155430870000e-02, 2.220446049250313e-16, 1.150787906180506e+05, 1.947562894268977e-01, 4.368017271379480e-03, 0.000000000000000e+00
39, 6.421860241959999e-02, 2.220446049250313e-16, 1.150764255646574e+05, 1.940183011218183e-01, 4.380837848523848e-03, 0.000000000000000e+00
40, 6.886997564640000e-02, 2.220446049250313e-16, 1.150744410157451e+05, 1.933990449594422e-01, 4.332909969378690e-03, 0.000000000000000e+00
41, 7.357766043930000e-02, 2.220446049250313e-16, 1.150728711035217e+05, 1.929091715112574e-01, 4.271336440781124e-03, 0.000000000000000e+00
42, 7.834371614890000e-02, 2.220446049250313e-16, 1.150716384689538e+05, 1.925245417611895e-01, 4.212211945404565e-03, 0.000000000000000e+00
43, 8.317027892560000e-02, 2.220446049250313e-16, 1.150706542352618e+05, 1.922174227099844e-01, 4.158903424096810e-03, 0.000000000000000e+00
44, 8.805956585650000e-02, 2.220446049250313e-16, 1.150698452025567e+05, 1.919649731557980e-01, 4.110824238787314e-03, 0.000000000000000e+00
