"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
24, 0.000000000000000e+00, 2.220446049250313e-16, 1.150865363094403e+05, 1.971732452878941e-01, 1.215408305744281e-02, 0.000000000000000e+00
25, 4.011887597850000e-03, 2.220446049250313e-16, 1.150568631433270e+05, 1.879140676181827e-01, 3.273627784128477e-03, 0.000000000000000e+00
26, 8.056205200680001e-03, 2.220446049250313e-16, 1.150646648639913e+05, 1.903485067840276e-01, 2.513242756624481e-03, 0.000000000000000e+00
27, 1.213422760060000e-02, 2.220446049250313e-16, 1.150635133603037e+05, 1.899891930124439e-01, 2.209637235797932e-03, 0.000000000000000e+00
28, 1.624726554020000e-02, 2.220446049250313e-16, 1.150637293497481e+05, 1.900565900887412e-01, 1.988758420934985e-03, 0.000000000000000e+00
29, 2.039666755470000e-02, 2.220446049250313e-16, 1.150628250841012e+05, 1.897744241663889e-01, 1.808309943420501e-03, 0.000000000000000e+00
30, 2.458382190520000e-02, 2.220446049250313e-16, 1.150610224539190e+05, 1.892119336971988e-01, 1.655391971855656e-03, 0.000000000000000e+00
31, 2.881015861120000e-02, 2.220446049250313e-16, 1.150592484402028e+05, 1.886583726742614e-01, 1.542950304249084e-03, 0.000000000000000e+00
32, 3.307715158840000e-02, 2.220446049250313e-16, 1.150594796107134e+05, 1.887305068314942e-01, 1.518783574966691e-03, 0.000000000000000e+00
33, 3.738632089750000e-02, 2.220446049250313e-16, 1.150634598975986e+05, 1.899725105767525e-01, 1.675669551798823e-03, 0.000000000000000e+00
34, 4.173923511390000e-02, 2.220446049250313e-16, 1.150706954863488e+05, 1.922302946476296e-01, 2.130636454506833e-03, 0.000000000000000e+00
35, 4.613751382460000e-02, 2.220446049250313e-16, 1.150782783263807e+05, 1.945964345744484e-01, 2.916613442068190e-03, 0.000000000000000e+00
36, 5.058283026210000e-02, 2.220446049250313e-16, 1.150817310097241e+05, 1.956738055699213e-01, 3.711210039503526e-03, 0.000000000000000e+00
37, 5.507691408390000e-02, 2.220446049250313e-16, 1.150810727930603e+05, 1.954684164647534e-01, 4.192311735169181e-03, 0.000000000000000e+00
38, 5.962155430870000e-02, 2.220446049250313e-16, 1.150787895079714e+05, 1.947559430391658e-01, 4.367836703597775e-03, 0.000000000000000e+00
39, 6.421860241959999e-02, 2.220446049250313e-16, 1.150764245187238e+05, 1.940179747500126e-01, 4.380661722347642e-03, 0.000000000000000e+00
40, 6.886997564640000e-02, 2.220446049250313e-16, 1.150744400417527e+05, 1.933987410360712e-01, 4.332736429127933e-03, 0.000000000000000e+00
41, 7.357766043930000e-02, 2.220446049250313e-16, 1.150728701882911e+05, 1.929088859238444e-01, 4.271162962863532e-03, 0.000000000000000e+00
42, 7.834371614890000e-02, 2.220446049250313e-16, 1.150716376045628e+05, 1.925242720377077e-01, 4.212038071850145e-03, 0.000000000000000e+00
43, 8.317027892560000e-02, 2.220446049250313e-16, 1.150706534135498e+05, 1.922171663039973e-01, 4.158728403245669e-03, 0.000000000000000e+00
44, 8.805956585650000e-02, 2.220446049250313e-16, 1.150698444184105e+05, 1.919647284717730e-01, 4.110647970776441e-03, 0.000000000000000e+00
45, 9.301387935570000e-02, 2.220446049250313e-16, 1.150691591619095e+05, 1.917509018896094e-01, 4.066758051032761e-03, 0.000000000000000e+00
46, 9.803561182770000e-02, 2.220446049250313e-16, 1.150685681452319e+05, 1.915664817841591e-01, 4.026311777719688e-03, 0.000000000000000e+00
47, 1.031272506240000e-01, 2.220446049250313e-16, 1.150680475155214e+05, 1.914040251399689e-01, 3.988647293685423e-03, 0.000000000000000e+00
