"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
24, 0.000000000000000e+00, 2.220446049250313e-16, 1.150865594185772e+05, 1.971804562340707e-01, 1.215348489393116e-02, 0.000000000000000e+00, -9.787367288487535e+01
25, 4.011887597850000e-03, 2.220446049250313e-16, 1.150568879862865e+05, 1.879218195842201e-01, 3.273678672912642e-03, 0.000000000000000e+00, -1.055175599981868e+01
26, 8.056205200680001e-03, 2.220446049250313e-16, 1.150646889523589e+05, 1.903560232881221e-01, 2.513290984271484e-03, 0.000000000000000e+00, -3.486072384205846e+00
27, 1.213422760060000e-02, 2.220446049250313e-16, 1.150635375206900e+05, 1.899967319891799e-01, 2.209665792545275e-03, 0.000000000000000e+00, -2.693320903607089e+00
28, 1.624726554020000e-02, 2.220446049250313e-16, 1.150637535290942e+05, 1.900641349816762e-01, 1.988774888756775e-03, 0.000000000000000e+00, -2.181968651372805e+00
29, 2.039666755470000e-02, 2.220446049250313e-16, 1.150628493269207e+05, 1.897819888654896e-01, 1.808318685229208e-03, 0.000000000000000e+00, -1.804071318817701e+00
30, 2.458382190520000e-02, 2.220446049250313e-16, 1.150610467726225e+05, 1.892195220750355e-01, 1.655395651280487e-03, 0.000000000000000e+00, -1.511868191018517e+00
31, 2.881015861120000e-02, 2.220446049250313e-16, 1.150592728973056e+05, 1.886660042380723e-01, 1.542951993865765e-03, 0.000000000000000e+00, -1.313782289611858e+00
32, 3.307715158840000e-02, 2.220446049250313e-16, 1.150595043403253e+05, 1.887382234286961e-01, 1.518788637696171e-03, 0.000000000000000e+00, -1.272602414289767e+00
33, 3.738632089750000e-02, 2.220446049250313e-16, 1.150634850453314e+05, 1.899803576438754e-01, 1.675695062835416e-03, 0.000000000000000e+00, -1.595543283048654e+00
34, 4.173923511390000e-02, 2.220446049250313e-16, 1.150707210614677e+05, 1.922382750757536e-01, 2.130700218697421e-03, 0.000000000000000e+00, -2.740411116923146e+00
35, 4.613751382460000e-02, 2.220446049250313e-16, 1.150783041764175e+05, 1.946045007876455e-01, 2.916767121085116e-03, 0.000000000000000e+00, -6.340704131302477e+00
36, 5.058283026210000e-02, 2.220446049250313e-16, 1.150817570986811e+05, 1.956819463354331e-01, 3.711402772896371e-03, 0.000000000000000e+00, -1.096055322351602e+01
37, 5.507691408390000e-02, 2.220446049250313e-16, 1.150810991871730e+05, 1.954766524506820e-01, 4.192486451255174e-03, 0.000000000000000e+00, -1.373829325525172e+01
38, 5.962155430870000e-02, 2.220446049250313e-16, 1.150788161865256e+05, 1.947642677818871e-01, 4.367989633274364e-03, 0.000000000000000e+00, -1.463269920599100e+01
39, 6.421860241959999e-02, 2.220446049250313e-16, 1.150764514826077e+05, 1.940263885266402e-01, 4.380803753473566e-03, 0.000000000000000e+00, -1.459351058523435e+01
40, 6.886997564640000e-02, 2.220446049250313e-16, 1.150744673075340e+05, 1.934072490163891e-01, 4.332874729633362e-03, 0.000000000000000e+00, -1.422758179802407e+01
41, 7.357766043930000e-02, 2.220446049250313e-16, 1.150728977738304e+05, 1.929174936810606e-01, 4.271301622024349e-03, 0.000000000000000e+00, -1.381227377152371e+01
42, 7.834371614890000e-02, 2.220446049250313e-16, 1.150716655202616e+05, 1.925329828174676e-01, 4.212177676521710e-03, 0.000000000000000e+00, -1.343272961959879e+01
43, 8.317027892560000e-02, 2.220446049250313e-16, 1.150706816734557e+05, 1.922259844897297e-01, 4.158869397800966e-03, 0.000000000000000e+00, -1.310027970549304e+01
44, 8.805956585650000e-02, 2.220446049250313e-16, 1.150698730384288e+05, 1.919736590265163e-01, 4.110790204974200e-03, 0.000000000000000e+00, -1.280560542699186e+01
45, 9.301387935570000e-02, 2.220446049250313e-16, 1.150691881579715e+05, 1.917599497845621e-01, 4.066900936840530e-03, 0.000000000000000e+00, -1.254014906639287e+01
46, 9.803561182770000e-02, 2.220446049250313e-16, 1.150685975333399e+05, 1.915756520126694e-01, 4.026454681394111e-03, 0.000000000000000e+00, -1.229888062527210e+01
47, 1.031272506240000e-01, 2.220446049250313e-16, 1.150680773175294e+05, 1.914133245213069e-01, 3.988789669005381e-03, 0.000000000000000e+00, -1.207604268529682e+01
48, 1.082913833170000e-01, 2.220446049250313e-16, 1.150676130650327e+05, 1.912684597524340e-01, 3.953546486741695e-03, 0.000000000000000e+00, -1.186980332026531e+01
49, 1.135307033110000e-01, 2.220446049250313e-16, 1.150671927903881e+05, 1.911373177775720e-01, 3.920341975130798e-03, 0.000000000000000e+00, -1.167674561659917e+01
50, 1.188480158220000e-01, 2.220446049250313e-16, 1.150668080491589e+05, 1.910172636052343e-01, 3.888957341235170e-03, 0.000000000000000e+00, -1.149573366400796e+01
51, 1.242462442510000e-01, 2.220446049250313e-16, 1.150664534995768e+05, 1.909066303967459e-01, 3.859177964136935e-03, 0.000000000000000e+00, -1.132506536295646e+01
52, 1.297284369870000e-01, 2.220446049250313e-16, 1.150661230237181e+05, 1.908035091228111e-01, 3.830840645438301e-03, 0.000000000000000e+00, -1.116359773166621e+01
53, 1.352977746630000e-01, 2.220446049250313e-16, 1.150658151571193e+05, 1.907074428140898e-01, 3.803823831274451e-03, 0.000000000000000e+00, -1.101067552867321e+01
54, 1.409575779210000e-01, 2.220446049250313e-16, 1.150655253193165e+05, 1.906170021883257e-01, 3.777962318436159e-03, 0.000000000000000e+00, -1.086503700325419e+01
55, 1.467113157020000e-01, 2.220446049250313e-16, 1.150652516777595e+05, 1.905316154188529e-01, 3.753125455989527e-03, 0.000000000000000e+00, -1.072583525384026e+01
56, 1.525626141330000e-01, 2.220446049250313e-16, 1.150649931218658e+05, 1.904509359609247e-01, 3.729243398667606e-03, 0.000000000000000e+00, -1.059268677316782e+01
57, 1.585152660350000e-01, 2.220446049250313e-16, 1.150647461053899e+05, 1.903738572484960e-01, 3.706257815363654e-03, 0.000000000000000e+00, -1.046513062797765e+01
58, 1.645732411200000e-01, 2.220446049250313e-16, 1.150645109211994e+05, 1.903004706676102e-01, 3.684124876418953e-03, 0.000000000000000e+00, -1.034295163091067e+01
59, 1.707406969350000e-01, 2.220446049250313e-16, 1.150642866527141e+05, 1.902304902097532e-01, 3.662767090099387e-03, 0.000000000000000e+00, -1.022561902121008e+01
60, 1.770219906140000e-01, 2.220446049250313e-16, 1.150640699842159e+05, 1.901628812423559e-01, 3.642081857102906e-03, 0.000000000000000e+00, -1.011244895649473e+01
