"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
24, 0.000000000000000e+00, 2.220446049250313e-16, 1.150857034456393e+05, 1.969133595082866e-01, 1.212964289918415e-02, 0.000000000000000e+00, -9.740599171841301e+01
25, 4.011887597850000e-03, 2.220446049250313e-16, 1.150560571598436e+05, 1.876625695393172e-01, 3.273025472645433e-03, 0.000000000000000e+00, -1.053135218423494e+01
26, 8.056205200680001e-03, 2.220446049250313e-16, 1.150637844524263e+05, 1.900737842595696e-01, 2.515469460626424e-03, 0.000000000000000e+00, -3.492133154271429e+00
27, 1.213422760060000e-02, 2.220446049250313e-16, 1.150626283452518e+05, 1.897130340216820e-01, 2.213748290836638e-03, 0.000000000000000e+00, -2.703297808448397e+00
28, 1.624726554020000e-02, 2.220446049250313e-16, 1.150629998479070e+05, 1.898289572459428e-01, 1.996328401370358e-03, 0.000000000000000e+00, -2.198589554073180e+00
29, 2.039666755470000e-02, 2.220446049250313e-16, 1.150624755265254e+05, 1.896653486573039e-01, 1.821260032447309e-03, 0.000000000000000e+00, -1.829996508956588e+00
30, 2.458382190520000e-02, 2.220446049250313e-16, 1.150611178288030e+05, 1.892416943567919e-01, 1.673326711807771e-03, 0.000000000000000e+00, -1.544808504143869e+00
31, 2.881015861120000e-02, 2.220446049250313e-16, 1.150593865768952e+05, 1.887014766751259e-01, 1.557187828685349e-03, 0.000000000000000e+00, -1.338107439189008e+00
32, 3.307715158840000e-02, 2.220446049250313e-16, 1.150586992620479e+05, 1.884870078091493e-01, 1.500687420495408e-03, 0.000000000000000e+00, -1.242370287468352e+00
33, 3.738632089750000e-02, 2.220446049250313e-16, 1.150606905366255e+05, 1.891083626397423e-01, 1.560655418401070e-03, 0.000000000000000e+00, -1.369776264629917e+00
34, 4.173923511390000e-02, 2.220446049250313e-16, 1.150657850211069e+05, 1.906980392104434e-01, 1.819114181313262e-03, 0.000000000000000e+00, -1.917360340942088e+00
35, 4.613751382460000e-02, 2.220446049250313e-16, 1.150727622877077e+05, 1.928752167606353e-01, 2.353641875220545e-03, 0.000000000000000e+00, -3.628052605655698e+00
36, 5.058283026210000e-02, 2.220446049250313e-16, 1.150782564265133e+05, 1.945896009671913e-01, 3.077578860863865e-03, 0.000000000000000e+00, -7.145635350981944e+00
