"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
24, 0.000000000000000e+00, 2.220446049250313e-16, 1.150855978907068e+05, 1.968804222790917e-01, 1.212947911291651e-02, 0.000000000000000e+00, -9.740416100694803e+01
25, 4.011887597850000e-03, 2.220446049250313e-16, 1.150559197427937e+05, 1.876196900948125e-01, 3.272631720660987e-03, 0.000000000000000e+00, -1.053001596261080e+01
26, 8.056205200680001e-03, 2.220446049250313e-16, 1.150636145054378e+05, 1.900207542136871e-01, 2.515822456527450e-03, 0.000000000000000e+00, -3.493117548821252e+00
27, 1.213422760060000e-02, 2.220446049250313e-16, 1.150625109477679e+05, 1.896764014575368e-01, 2.216443682408286e-03, 0.000000000000000e+00, -2.709891904019196e+00
28, 1.624726554020000e-02, 2.220446049250313e-16, 1.150631492846150e+05, 1.898755872895431e-01, 2.003324074478612e-03, 0.000000000000000e+00, -2.214035634454518e+00
29, 2.039666755470000e-02, 2.220446049250313e-16, 1.150631551032919e+05, 1.898774029421981e-01, 1.833513545264060e-03, 0.000000000000000e+00, -1.854701301949417e+00
30, 2.458382190520000e-02, 2.220446049250313e-16, 1.150623575856753e+05, 1.896285465418257e-01, 1.687552205224836e-03, 0.000000000000000e+00, -1.571215540234069e+00
31, 2.881015861120000e-02, 2.220446049250313e-16, 1.150606186154992e+05, 1.890859204613830e-01, 1.560068045609438e-03, 0.000000000000000e+00, -1.342788701877662e+00
32, 3.307715158840000e-02, 2.220446049250313e-16, 1.150587158923961e+05, 1.884921971222211e-01, 1.461549410952562e-03, 0.000000000000000e+00, -1.178851339466614e+00
33, 3.738632089750000e-02, 2.220446049250313e-16, 1.150582950289596e+05, 1.883608714214762e-01, 1.427346032665563e-03, 0.000000000000000e+00, -1.123865567441174e+00
34, 4.173923511390000e-02, 2.220446049250313e-16, 1.150610504192036e+05, 1.892206599496579e-01, 1.525242526055110e-03, 0.000000000000000e+00, -1.312835101172112e+00
35, 4.613751382460000e-02, 2.220446049250313e-16, 1.150670646625105e+05, 1.910973369147881e-01, 1.847710457288700e-03, 0.000000000000000e+00, -1.997187363118510e+00
36, 5.058283026210000e-02, 2.220446049250313e-16, 1.150745221469537e+05, 1.934243610403613e-01, 2.462378805509913e-03, 0.000000000000000e+00, -4.146155832399687e+00
37, 5.507691408390000e-02, 2.220446049250313e-16, 1.150795135826072e+05, 1.949818823836113e-01, 3.217365750904463e-03, 0.000000000000000e+00, -7.981208057373962e+00
38, 5.962155430870000e-02, 2.220446049250313e-16, 1.150803530886476e+05, 1.952438407992639e-01, 3.789946067780237e-03, 0.000000000000000e+00, -1.111824007181749e+01
39, 6.421860241959999e-02, 2.220446049250313e-16, 1.150787432732369e+05, 1.947415160104077e-01, 4.070421583943388e-03, 0.000000000000000e+00, -1.258191943607561e+01
40, 6.886997564640000e-02, 2.220446049250313e-16, 1.150765178434073e+05, 1.940470956676110e-01, 4.148493709539670e-03, 0.000000000000000e+00, -1.290455335533818e+01
41, 7.357766043930000e-02, 2.220446049250313e-16, 1.150744868799513e+05, 1.934133563690348e-01, 4.134168342086719e-03, 0.000000000000000e+00, -1.274406518173085e+01
42, 7.834371614890000e-02, 2.220446049250313e-16, 1.150728268130250e+05, 1.928953511600223e-01, 4.088229625151637e-03, 0.000000000000000e+00, -1.243021112724160e+01
43, 8.317027892560000e-02, 2.220446049250313e-16, 1.150715064905093e+05, 1.924833593723020e-01, 4.035966459403249e-03, 0.000000000000000e+00, -1.210133076853584e+01
44, 8.805956585650000e-02, 2.220446049250313e-16, 1.150704515121069e+05, 1.921541652300845e-01, 3.985609783779156e-03, 0.000000000000000e+00, -1.179623809603458e+01
45, 9.301387935570000e-02, 2.220446049250313e-16, 1.150695889395512e+05, 1.918850091678186e-01, 3.939016169383320e-03, 0.000000000000000e+00, -1.152069049283764e+01
46, 9.803561182770000e-02, 2.220446049250313e-16, 1.150688678595771e+05, 1.916600042738854e-01, 3.896342522857449e-03, 0.000000000000000e+00, -1.127400264566206e+01
47, 1.031272506240000e-01, 2.220446049250313e-16, 1.150682513690156e+05, 1.914676353295348e-01, 3.857055823045923e-03, 0.000000000000000e+00, -1.105036418572281e+01
48, 1.082913833170000e-01, 2.220446049250313e-16, 1.150677132616839e+05, 1.912997249902430e-01, 3.820653616938687e-03, 0.000000000000000e+00, -1.084611538981393e+01
49, 1.135307033110000e-01, 2.220446049250313e-16, 1.150672354929898e+05, 1.911506426440290e-01, 3.786691102026394e-03, 0.000000000000000e+00, -1.065768547335568e+01
50, 1.188480158220000e-01, 2.220446049250313e-16, 1.150668065691475e+05, 1.910168017843493e-01, 3.754849318927597e-03, 0.000000000000000e+00, -1.048294683077972e+01
51, 1.242462442510000e-01, 2.220446049250313e-16, 1.150664159252628e+05, 1.908949057547723e-01, 3.724840811876334e-03, 0.000000000000000e+00, -1.031959415354183e+01
52, 1.297284369870000e-01, 2.220446049250313e-16, 1.150660586237667e+05, 1.907834138424608e-01, 3.696472464105951e-03, 0.000000000000000e+00, -1.016657811087940e+01
53, 1.352977746630000e-01, 2.220446049250313e-16, 1.150657276572895e+05, 1.906801394765588e-01, 3.669525366589653e-03, 0.000000000000000e+00, -1.002209994772206e+01
54, 1.409575779210000e-01, 2.220446049250313e-16, 1.150654201140865e+05, 1.905841740798353e-01, 3.643863903165563e-03, 0.000000000000000e+00, -9.885512884009200e+00
55, 1.467113157020000e-01, 2.220446049250313e-16, 1.150651327037214e+05, 1.904944909087176e-01, 3.619339746403644e-03, 0.000000000000000e+00, -9.755726204677368e+00
56, 1.525626141330000e-01, 2.220446049250313e-16, 1.150648606563486e+05, 1.904096015865037e-01, 3.595834165301496e-03, 0.000000000000000e+00, -9.631947034777760e+00
57, 1.585152660350000e-01, 2.220446049250313e-16, 1.150646045674932e+05, 1.903296919401050e-01, 3.573272006259244e-03, 0.000000000000000e+00, -9.513873360306384e+00
58, 1.645732411200000e-01, 2.220446049250313e-16, 1.150643614558781e+05, 1.902538316955515e-01, 3.551544138099505e-03, 0.000000000000000e+00, -9.400667965290976e+00
59, 1.707406969350000e-01, 2.220446049250313e-16, 1.150641284656199e+05, 1.901811297065830e-01, 3.530574884792122e-03, 0.000000000000000e+00, -9.291897108522644e+00
60, 1.770219906140000e-01, 2.220446049250313e-16, 1.150639065167731e+05, 1.901118730657886e-01, 3.510317485755036e-03, 0.000000000000000e+00, -9.187376571102151e+00
61, 1.834216915030000e-01, 2.220446049250313e-16, 1.150636937061057e+05, 1.900454678910886e-01, 3.490701250156011e-03, 0.000000000000000e+00, -9.086585593933181e+00
62, 1.899445947530000e-01, 2.220446049250313e-16, 1.150634877938055e+05, 1.899812152742851e-01, 3.471673094883500e-03, 0.000000000000000e+00, -8.989209508225480e+00
63, 1.965957359540000e-01, 2.220446049250313e-16, 1.150632900709806e+05, 1.899195180911178e-01, 3.453203605035455e-03, 0.000000000000000e+00, -8.895151298651514e+00
64, 2.033804069020000e-01, 2.220446049250313e-16, 1.150630996002735e+05, 1.898600838497188e-01, 3.435244251774286e-03, 0.000000000000000e+00, -8.804070389457923e+00
65, 2.103041726230000e-01, 2.220446049250313e-16, 1.150629137470030e+05, 1.898020904274703e-01, 3.417748930789947e-03, 0.000000000000000e+00, -8.715680128921784e+00
66, 2.173728897500000e-01, 2.220446049250313e-16, 1.150627333893971e+05, 1.897458118655052e-01, 3.400692780679658e-03, 0.000000000000000e+00, -8.629878073790856e+00
67, 2.245927263960000e-01, 2.220446049250313e-16, 1.150625592252713e+05, 1.896914659093544e-01, 3.384050166699696e-03, 0.000000000000000e+00, -8.546521880423702e+00
68, 2.319701836540000e-01, 2.220446049250313e-16, 1.150623889021764e+05, 1.896383185037054e-01, 3.367782500843434e-03, 0.000000000000000e+00, -8.465350641428492e+00
69, 2.395121189030000e-01, 2.220446049250313e-16, 1.150622216486518e+05, 1.895861289229102e-01, 3.351862856135030e-03, 0.000000000000000e+00, -8.386220607137510e+00
70, 2.472257710730000e-01, 2.220446049250313e-16, 1.150620592863509e+05, 1.895354655934398e-01, 3.336277347127701e-03, 0.000000000000000e+00, -8.309090494124877e+00
71, 2.551187880890000e-01, 2.220446049250313e-16, 1.150619011221071e+05, 1.894861122204865e-01, 3.320998642144308e-03, 0.000000000000000e+00, -8.233775947859204e+00
72, 2.631992566980000e-01, 2.220446049250313e-16, 1.150617447842520e+05, 1.894373287515680e-01, 3.305997259752953e-03, 0.000000000000000e+00, -8.160100664273779e+00
73, 2.714757349350000e-01, 2.220446049250313e-16, 1.150615907639916e+05, 1.893892684619802e-01, 3.291257005253221e-03, 0.000000000000000e+00, -8.087991681314982e+00
74, 2.799572875080000e-01, 2.220446049250313e-16, 1.150614408779490e+05, 1.893424982085756e-01, 3.276768069537404e-03, 0.000000000000000e+00, -8.017413378126722e+00
75, 2.886535243940000e-01, 2.220446049250313e-16, 1.150612936524857e+05, 1.892965581590001e-01, 3.262507790966355e-03, 0.000000000000000e+00, -7.948211978145465e+00
76, 2.975746430190000e-01, 2.220446049250313e-16, 1.150611474212388e+05, 1.892509283434640e-01, 3.248454727734852e-03, 0.000000000000000e+00, -7.880271850883999e+00
77, 3.067314743950000e-01, 2.220446049250313e-16, 1.150610031099672e+05, 1.892058976346485e-01, 3.234596887926986e-03, 0.000000000000000e+00, -7.813538835619030e+00
78, 3.161355336610000e-01, 2.220446049250313e-16, 1.150608619932843e+05, 1.891618637612719e-01, 3.220925805433430e-03, 0.000000000000000e+00, -7.747976158520435e+00
79, 3.257990755320000e-01, 2.220446049250313e-16, 1.150607225631883e+05, 1.891183561683854e-01, 3.207423600974456e-03, 0.000000000000000e+00, -7.683468586140151e+00
80, 3.357351552200000e-01, 2.220446049250313e-16, 1.150605836562560e+05, 1.890750118228155e-01, 3.194073588136047e-03, 0.000000000000000e+00, -7.619930417698896e+00
81, 3.459576954530000e-01, 2.220446049250313e-16, 1.150604462516664e+05, 1.890321362664059e-01, 3.180865855325725e-03, 0.000000000000000e+00, -7.557315925674050e+00
82, 3.564815603450000e-01, 2.220446049250313e-16, 1.150603113281197e+05, 1.889900348915227e-01, 3.167793318081875e-03, 0.000000000000000e+00, -7.495593261521760e+00
83, 3.673226369200000e-01, 2.220446049250313e-16, 1.150601777165949e+05, 1.889483429182934e-01, 3.154841985540255e-03, 0.000000000000000e+00, -7.434678270635592e+00
84, 3.784979252510000e-01, 2.220446049250313e-16, 1.150600443991912e+05, 1.889067427222714e-01, 3.141997218688505e-03, 0.000000000000000e+00, -7.374496014930400e+00
85, 3.900256382880000e-01, 2.220446049250313e-16, 1.150599120291566e+05, 1.888654381420883e-01, 3.129249478526874e-03, 0.000000000000000e+00, -7.315002258661868e+00
86, 4.019253126140000e-01, 2.220446049250313e-16, 1.150597815718948e+05, 1.888247304211532e-01, 3.116593131404787e-03, 0.000000000000000e+00, -7.256171485515384e+00
