"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
24, 0.000000000000000e+00, 2.220446049250313e-16, 1.150865369812263e+05, 1.971734549111425e-01, 1.215354998744708e-02, 0.000000000000000e+00, -9.787472495592034e+01
25, 4.011887597850000e-03, 2.220446049250313e-16, 1.150568651351487e+05, 1.879146891437368e-01, 3.273697875661896e-03, 0.000000000000000e+00, -1.055186857005222e+01
26, 8.056205200680001e-03, 2.220446049250313e-16, 1.150646659787266e+05, 1.903488546246215e-01, 2.513305485584172e-03, 0.000000000000000e+00, -3.486112613479493e+00
27, 1.213422760060000e-02, 2.220446049250313e-16, 1.150635143460185e+05, 1.899895005936660e-01, 2.209678681652331e-03, 0.000000000000000e+00, -2.693352343172106e+00
28, 1.624726554020000e-02, 2.220446049250313e-16, 1.150637301516835e+05, 1.900568403236518e-01, 1.988786721281063e-03, 0.000000000000000e+00, -2.181994632063904e+00
29, 2.039666755470000e-02, 2.220446049250313e-16, 1.150628257251797e+05, 1.897746242077271e-01, 1.808329645981969e-03, 0.000000000000000e+00, -1.804093204743838e+00
30, 2.458382190520000e-02, 2.220446049250313e-16, 1.150610229344263e+05, 1.892120836340906e-01, 1.655405940845904e-03, 0.000000000000000e+00, -1.511886998182461e+00
31, 2.881015861120000e-02, 2.220446049250313e-16, 1.150592488345026e+05, 1.886584957110921e-01, 1.542962300282631e-03, 0.000000000000000e+00, -1.313799851873231e+00
32, 3.307715158840000e-02, 2.220446049250313e-16, 1.150594800950315e+05, 1.887306579574979e-01, 1.518800863093148e-03, 0.000000000000000e+00, -1.272622935445293e+00
33, 3.738632089750000e-02, 2.220446049250313e-16, 1.150634606638559e+05, 1.899727496787287e-01, 1.675713139239670e-03, 0.000000000000000e+00, -1.595578241385589e+00
34, 4.173923511390000e-02, 2.220446049250313e-16, 1.150706965355420e+05, 1.922306220365614e-01, 2.130729555081672e-03, 0.000000000000000e+00, -2.740494557091279e+00
35, 4.613751382460000e-02, 2.220446049250313e-16, 1.150782794094795e+05, 1.945967725432543e-01, 2.916809502141659e-03, 0.000000000000000e+00, -6.340909961013099e+00
36, 5.058283026210000e-02, 2.220446049250313e-16, 1.150817319744852e+05, 1.956741066127421e-01, 3.711448450843714e-03, 0.000000000000000e+00, -1.096082057691685e+01
37, 5.507691408390000e-02, 2.220446049250313e-16, 1.150810736965948e+05, 1.954686984025248e-01, 4.192527860104513e-03, 0.000000000000000e+00, -1.373855262798823e+01
38, 5.962155430870000e-02, 2.220446049250313e-16, 1.150787903598716e+05, 1.947562088650306e-01, 4.368026429274747e-03, 0.000000000000000e+00, -1.463293645389610e+01
39, 6.421860241959999e-02, 2.220446049250313e-16, 1.150764253335079e+05, 1.940182289942067e-01, 4.380837947141082e-03, 0.000000000000000e+00, -1.459373208214248e+01
40, 6.886997564640000e-02, 2.220446049250313e-16, 1.150744408336439e+05, 1.933989881367939e-01, 4.332907863223524e-03, 0.000000000000000e+00, -1.422779452814062e+01
41, 7.357766043930000e-02, 2.220446049250313e-16, 1.150728709648229e+05, 1.929091282318570e-01, 4.271334489705556e-03, 0.000000000000000e+00, -1.381248220971884e+01
42, 7.834371614890000e-02, 2.220446049250313e-16, 1.150716383620173e+05, 1.925245083928410e-01, 4.212210586027047e-03, 0.000000000000000e+00, -1.343293550176064e+01
43, 8.317027892560000e-02, 2.220446049250313e-16, 1.150706541501639e+05, 1.922173961561518e-01, 4.158902491073963e-03, 0.000000000000000e+00, -1.310048420271631e+01
44, 8.805956585650000e-02, 2.220446049250313e-16, 1.150698451329481e+05, 1.919649514352200e-01, 4.110823550905733e-03, 0.000000000000000e+00, -1.280580912279732e+01
45, 9.301387935570000e-02, 2.220446049250313e-16, 1.150691598519280e+05, 1.917511172021322e-01, 4.066934576125991e-03, 0.000000000000000e+00, -1.254035235032120e+01
