"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
24, 0.000000000000000e+00, 2.220446049250313e-16, 3.614046740188247e+04, 1.876468556421838e-02, 7.585949868234545e-03, 0.000000000000000e+00
25, 4.011887597850000e-03, 2.220446049250313e-16, 3.515199101969926e+04, 8.483254399575688e-03, 3.214551645397536e-03, 0.000000000000000e+00
26, 8.056205200680001e-03, 2.220446049250313e-16, 3.492775913317248e+04, 6.150953145041658e-03, 3.133728376031980e-03, 0.000000000000000e+00
27, 1.213422760060000e-02, 2.220446049250313e-16, 3.488824489488109e+04, 5.739954027269183e-03, 3.147042350474614e-03, 0.000000000000000e+00
28, 1.624726554020000e-02, 2.220446049250313e-16, 3.488520748951499e+04, 5.708361088122070e-03, 3.095973156749869e-03, 0.000000000000000e+00
29, 2.039666755470000e-02, 2.220446049250313e-16, 3.487028708628954e+04, 5.553169622269993e-03, 3.032400270844435e-03, 0.000000000000000e+00
30, 2.458382190520000e-02, 2.220446049250313e-16, 3.485601574027718e+04, 5.404729189804869e-03, 2.971711436065949e-03, 0.000000000000000e+00
31, 2.881015861120000e-02, 2.220446049250313e-16, 3.484456444610345e+04, 5.285620939051111e-03, 2.916376166890598e-03, 0.000000000000000e+00
32, 3.307715158840000e-02, 2.220446049250313e-16, 3.483423494296270e+04, 5.178180764029365e-03, 2.865805502542894e-03, 0.000000000000000e+00
33, 3.738632089750000e-02, 2.220446049250313e-16, 3.482474359999898e+04, 5.079458537479036e-03, 2.819220331713236e-03, 0.000000000000000e+00
34, 4.173923511390000e-02, 2.220446049250313e-16, 3.481611970503783e+04, 4.989758890616183e-03, 2.776569780065732e-03, 0.000000000000000e+00
35, 4.613751382460000e-02, 2.220446049250313e-16, 3.480841695213565e+04, 4.909640310982445e-03, 2.737352030525242e-03, 0.000000000000000e+00
36, 5.058283026210000e-02, 2.220446049250313e-16, 3.480110670964568e+04, 4.833604346631386e-03, 2.701135734343159e-03, 0.000000000000000e+00
37, 5.507691408390000e-02, 2.220446049250313e-16, 3.479436324980184e+04, 4.763463653899022e-03, 2.667620663849374e-03, 0.000000000000000e+00
38, 5.962155430870000e-02, 2.220446049250313e-16, 3.478837834702731e+04, 4.701212934496402e-03, 2.636545333116983e-03, 0.000000000000000e+00
