"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
24, 0.000000000000000e+00, 2.220446049250313e-16, 3.614037737506998e+04, 1.876374916908313e-02, 7.585971466167152e-03, 0.000000000000000e+00
25, 4.011887597850000e-03, 2.220446049250313e-16, 3.514965990325169e+04, 8.459007777476768e-03, 3.216117048317766e-03, 0.000000000000000e+00
26, 8.056205200680001e-03, 2.220446049250313e-16, 3.492617918411507e+04, 6.134519634064403e-03, 3.138222833692529e-03, 0.000000000000000e+00
27, 1.213422760060000e-02, 2.220446049250313e-16, 3.488697014520760e+04, 5.726694984103074e-03, 3.152318585919933e-03, 0.000000000000000e+00
28, 1.624726554020000e-02, 2.220446049250313e-16, 3.488428732807351e+04, 5.698790220581520e-03, 3.101269882912443e-03, 0.000000000000000e+00
29, 2.039666755470000e-02, 2.220446049250313e-16, 3.486954961085477e+04, 5.545498925170105e-03, 3.037497429132011e-03, 0.000000000000000e+00
30, 2.458382190520000e-02, 2.220446049250313e-16, 3.485534696313959e+04, 5.397773043731375e-03, 2.976564397851266e-03, 0.000000000000000e+00
31, 2.881015861120000e-02, 2.220446049250313e-16, 3.484395450833625e+04, 5.279276798430973e-03, 2.921011776940310e-03, 0.000000000000000e+00
32, 3.307715158840000e-02, 2.220446049250313e-16, 3.483367588775638e+04, 5.172365867766146e-03, 2.870282166236602e-03, 0.000000000000000e+00
33, 3.738632089750000e-02, 2.220446049250313e-16, 3.482425564677140e+04, 5.074383193635431e-03, 2.823655792677058e-03, 0.000000000000000e+00
34, 4.173923511390000e-02, 2.220446049250313e-16, 3.481566695256141e+04, 4.985049680052495e-03, 2.780823968093890e-03, 0.000000000000000e+00
35, 4.613751382460000e-02, 2.220446049250313e-16, 3.480798751770391e+04, 4.905173638202696e-03, 2.741414211024067e-03, 0.000000000000000e+00
36, 5.058283026210000e-02, 2.220446049250313e-16, 3.480067320574530e+04, 4.829095346121508e-03, 2.705008289049563e-03, 0.000000000000000e+00
37, 5.507691408390000e-02, 2.220446049250313e-16, 3.479392164463265e+04, 4.758870389729167e-03, 2.671350823417840e-03, 0.000000000000000e+00
38, 5.962155430870000e-02, 2.220446049250313e-16, 3.478794749221969e+04, 4.696731487972873e-03, 2.640174238665523e-03, 0.000000000000000e+00
39, 6.421860241959999e-02, 2.220446049250313e-16, 3.478222617480741e+04, 4.637222396804184e-03, 2.611108952592328e-03, 0.000000000000000e+00
40, 6.886997564640000e-02, 2.220446049250313e-16, 3.477709336721754e+04, 4.583834567951806e-03, 2.583877847991064e-03, 0.000000000000000e+00
41, 7.357766043930000e-02, 2.220446049250313e-16, 3.477189176373844e+04, 4.529731172989524e-03, 2.558301666897806e-03, 0.000000000000000e+00
42, 7.834371614890000e-02, 2.220446049250313e-16, 3.476726643207193e+04, 4.481621749233916e-03, 2.534180807570323e-03, 0.000000000000000e+00
43, 8.317027892560000e-02, 2.220446049250313e-16, 3.476273971450393e+04, 4.434538039480164e-03, 2.511388079544164e-03, 0.000000000000000e+00
44, 8.805956585650000e-02, 2.220446049250313e-16, 3.475877864911044e+04, 4.393337842979934e-03, 2.489760712788296e-03, 0.000000000000000e+00
45, 9.301387935570000e-02, 2.220446049250313e-16, 3.475505941744344e+04, 4.354653029605630e-03, 2.469221681523521e-03, 0.000000000000000e+00
46, 9.803561182770000e-02, 2.220446049250313e-16, 3.475147704385884e+04, 4.317391717064466e-03, 2.449622272895922e-03, 0.000000000000000e+00
47, 1.031272506240000e-01, 2.220446049250313e-16, 3.474817669956130e+04, 4.283063873398823e-03, 2.430904103774699e-03, 0.000000000000000e+00
48, 1.082913833170000e-01, 2.220446049250313e-16, 3.474464169686886e+04, 4.246295279323868e-03, 2.412977735063676e-03, 0.000000000000000e+00
49, 1.135307033110000e-01, 2.220446049250313e-16, 3.474123955600142e+04, 4.210908619843219e-03, 2.395746215370855e-03, 0.000000000000000e+00
50, 1.188480158220000e-01, 2.220446049250313e-16, 3.473823344730794e+04, 4.179641206516471e-03, 2.379203908895175e-03, 0.000000000000000e+00
51, 1.242462442510000e-01, 2.220446049250313e-16, 3.473513778079646e+04, 4.147442276202966e-03, 2.363272168723194e-03, 0.000000000000000e+00
52, 1.297284369870000e-01, 2.220446049250313e-16, 3.473220098644243e+04, 4.116895821538107e-03, 2.347877024792500e-03, 0.000000000000000e+00
53, 1.352977746630000e-01, 2.220446049250313e-16, 3.472957910379162e+04, 4.089624855350167e-03, 2.333020321025929e-03, 0.000000000000000e+00
54, 1.409575779210000e-01, 2.220446049250313e-16, 3.472678662122009e+04, 4.060579429627150e-03, 2.318646329469062e-03, 0.000000000000000e+00
55, 1.467113157020000e-01, 2.220446049250313e-16, 3.472397922826406e+04, 4.031378916646008e-03, 2.304687546212022e-03, 0.000000000000000e+00
56, 1.525626141330000e-01, 2.220446049250313e-16, 3.472150429565170e+04, 4.005636420669577e-03, 2.291144642028793e-03, 0.000000000000000e+00
57, 1.585152660350000e-01, 2.220446049250313e-16, 3.471916337121070e+04, 3.981287782770301e-03, 2.277992027136683e-03, 0.000000000000000e+00
58, 1.645732411200000e-01, 2.220446049250313e-16, 3.471661870697801e+04, 3.954819987871873e-03, 2.265088320498355e-03, 0.000000000000000e+00
59, 1.707406969350000e-01, 2.220446049250313e-16, 3.471420682904662e+04, 3.929733342023740e-03, 2.252481779236912e-03, 0.000000000000000e+00
60, 1.770219906140000e-01, 2.220446049250313e-16, 3.471207282404579e+04, 3.907536933574839e-03, 2.240197125267885e-03, 0.000000000000000e+00
61, 1.834216915030000e-01, 2.220446049250313e-16, 3.470985226059370e+04, 3.884440205427498e-03, 2.228210252973256e-03, 0.000000000000000e+00
62, 1.899445947530000e-01, 2.220446049250313e-16, 3.470744946428954e+04, 3.859448020233042e-03, 2.216479205244989e-03, 0.000000000000000e+00
