"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
24, 0.000000000000000e+00, 2.220446049250313e-16, 3.614052313139572e+04, 1.876526522314061e-02, 7.585807788718686e-03, 0.000000000000000e+00, -1.765318063282467e+04
25, 4.011887597850000e-03, 2.220446049250313e-16, 3.514958317187349e+04, 8.458209672031529e-03, 3.213897666474533e-03, 0.000000000000000e+00, -6.875493569334271e+03
26, 8.056205200680001e-03, 2.220446049250313e-16, 3.492584909690273e+04, 6.131086300690727e-03, 3.136505564549965e-03, 0.000000000000000e+00, -6.216946333227093e+03
27, 1.213422760060000e-02, 2.220446049250313e-16, 3.488668547668472e+04, 5.723734063765921e-03, 3.151518345278723e-03, 0.000000000000000e+00, -5.275367210842330e+03
28, 1.624726554020000e-02, 2.220446049250313e-16, 3.488416521382393e+04, 5.697520074653947e-03, 3.100925771090177e-03, 0.000000000000000e+00, -4.617136067602707e+03
29, 2.039666755470000e-02, 2.220446049250313e-16, 3.486949082857343e+04, 5.544887513516588e-03, 3.037314884176290e-03, 0.000000000000000e+00, -4.195069439836200e+03
30, 2.458382190520000e-02, 2.220446049250313e-16, 3.485531330042225e+04, 5.397422907989776e-03, 2.976436384922075e-03, 0.000000000000000e+00, -3.869768851356735e+03
31, 2.881015861120000e-02, 2.220446049250313e-16, 3.484392523984062e+04, 5.278972368271127e-03, 2.920913182829807e-03, 0.000000000000000e+00, -3.601038437157733e+03
32, 3.307715158840000e-02, 2.220446049250313e-16, 3.483364865154270e+04, 5.172082575963601e-03, 2.870210514604446e-03, 0.000000000000000e+00, -3.372480583279012e+03
33, 3.738632089750000e-02, 2.220446049250313e-16, 3.482423294234587e+04, 5.074147038283113e-03, 2.823608499582162e-03, 0.000000000000000e+00, -3.175997992078010e+03
34, 4.173923511390000e-02, 2.220446049250313e-16, 3.481564866421437e+04, 4.984859457620678e-03, 2.780796875433777e-03, 0.000000000000000e+00, -3.006588757987438e+03
35, 4.613751382460000e-02, 2.220446049250313e-16, 3.480797476214795e+04, 4.905040963944690e-03, 2.741402208900105e-03, 0.000000000000000e+00, -2.857692506236279e+03
36, 5.058283026210000e-02, 2.220446049250313e-16, 3.480066305247338e+04, 4.828989738978815e-03, 2.705006502457506e-03, 0.000000000000000e+00, -2.725803028358554e+03
37, 5.507691408390000e-02, 2.220446049250313e-16, 3.479391649087692e+04, 4.758816784012673e-03, 2.671355993877905e-03, 0.000000000000000e+00, -2.608472473325583e+03
38, 5.962155430870000e-02, 2.220446049250313e-16, 3.478794357963625e+04, 4.696690792051339e-03, 2.640183844340779e-03, 0.000000000000000e+00, -2.503069647298139e+03
39, 6.421860241959999e-02, 2.220446049250313e-16, 3.478222494872202e+04, 4.637209643932414e-03, 2.611121832879880e-03, 0.000000000000000e+00, -2.407793597317459e+03
40, 6.886997564640000e-02, 2.220446049250313e-16, 3.477709167153222e+04, 4.583816930634265e-03, 2.583893305419803e-03, 0.000000000000000e+00, -2.320273453891805e+03
41, 7.357766043930000e-02, 2.220446049250313e-16, 3.477189222626024e+04, 4.529735983813660e-03, 2.558318522488752e-03, 0.000000000000000e+00, -2.240769330534958e+03
42, 7.834371614890000e-02, 2.220446049250313e-16, 3.476726542389304e+04, 4.481611262871263e-03, 2.534198622480490e-03, 0.000000000000000e+00, -2.166881868359972e+03
43, 8.317027892560000e-02, 2.220446049250313e-16, 3.476273981728245e+04, 4.434539108509586e-03, 2.511406993608072e-03, 0.000000000000000e+00, -2.098975768924307e+03
44, 8.805956585650000e-02, 2.220446049250313e-16, 3.475877779019329e+04, 4.393328909132073e-03, 2.489780143308055e-03, 0.000000000000000e+00, -2.035288233916385e+03
45, 9.301387935570000e-02, 2.220446049250313e-16, 3.475505972275209e+04, 4.354656205209999e-03, 2.469241041408495e-03, 0.000000000000000e+00, -1.976069379027935e+03
46, 9.803561182770000e-02, 2.220446049250313e-16, 3.475147693896778e+04, 4.317390626061996e-03, 2.449641852552535e-03, 0.000000000000000e+00, -1.920475607486103e+03
47, 1.031272506240000e-01, 2.220446049250313e-16, 3.474817643411135e+04, 4.283061112376493e-03, 2.430923821846476e-03, 0.000000000000000e+00, -1.868005284497190e+03
48, 1.082913833170000e-01, 2.220446049250313e-16, 3.474464270732860e+04, 4.246305789410335e-03, 2.412997945621433e-03, 0.000000000000000e+00, -1.818896061100749e+03
49, 1.135307033110000e-01, 2.220446049250313e-16, 3.474124077810696e+04, 4.210921331319364e-03, 2.395766796695314e-03, 0.000000000000000e+00, -1.772265908244997e+03
50, 1.188480158220000e-01, 2.220446049250313e-16, 3.473823378577992e+04, 4.179644727062280e-03, 2.379224823191032e-03, 0.000000000000000e+00, -1.727986536661720e+03
51, 1.242462442510000e-01, 2.220446049250313e-16, 3.473513928936645e+04, 4.147457967279394e-03, 2.363293448104479e-03, 0.000000000000000e+00, -1.686162997784854e+03
52, 1.297284369870000e-01, 2.220446049250313e-16, 3.473220197897954e+04, 4.116906145206110e-03, 2.347898313105939e-03, 0.000000000000000e+00, -1.646158244997338e+03
53, 1.352977746630000e-01, 2.220446049250313e-16, 3.472957913223722e+04, 4.089625151221112e-03, 2.333041514066640e-03, 0.000000000000000e+00, -1.607912982492757e+03
54, 1.409575779210000e-01, 2.220446049250313e-16, 3.472678793555059e+04, 4.060593100362005e-03, 2.318667655056399e-03, 0.000000000000000e+00, -1.571602225387828e+03
55, 1.467113157020000e-01, 2.220446049250313e-16, 3.472398026799135e+04, 4.031389731152765e-03, 2.304708882677242e-03, 0.000000000000000e+00, -1.536726685178123e+03
56, 1.525626141330000e-01, 2.220446049250313e-16, 3.472150439021955e+04, 4.005637404297343e-03, 2.291165875620390e-03, 0.000000000000000e+00, -1.503146499714026e+03
57, 1.585152660350000e-01, 2.220446049250313e-16, 3.471916465237408e+04, 3.981301108524286e-03, 2.278013329573102e-03, 0.000000000000000e+00, -1.470893256207936e+03
58, 1.645732411200000e-01, 2.220446049250313e-16, 3.471662057225948e+04, 3.954839389208561e-03, 2.265109881995974e-03, 0.000000000000000e+00, -1.440026785026351e+03
59, 1.707406969350000e-01, 2.220446049250313e-16, 3.471420791601112e+04, 3.929744647858595e-03, 2.252503120473801e-03, 0.000000000000000e+00, -1.410253183327920e+03
60, 1.770219906140000e-01, 2.220446049250313e-16, 3.471207321400692e+04, 3.907540989674324e-03, 2.240218184908663e-03, 0.000000000000000e+00, -1.381428837594408e+03
61, 1.834216915030000e-01, 2.220446049250313e-16, 3.470985384485477e+04, 3.884456683788939e-03, 2.228231300047518e-03, 0.000000000000000e+00, -1.353679928829119e+03
62, 1.899445947530000e-01, 2.220446049250313e-16, 3.470745128103380e+04, 3.859466916719927e-03, 2.216500315740933e-03, 0.000000000000000e+00, -1.326885675623737e+03
63, 1.965957359540000e-01, 2.220446049250313e-16, 3.470520673308602e+04, 3.836120718837257e-03, 2.205016602761812e-03, 0.000000000000000e+00, -1.300862662564447e+03
64, 2.033804069020000e-01, 2.220446049250313e-16, 3.470323294983513e+04, 3.815590823542098e-03, 2.193779495314636e-03, 0.000000000000000e+00, -1.275520948410799e+03
65, 2.103041726230000e-01, 2.220446049250313e-16, 3.470121252745113e+04, 3.794575821020042e-03, 2.182768747291425e-03, 0.000000000000000e+00, -1.250959127805156e+03
66, 2.173728897500000e-01, 2.220446049250313e-16, 3.469901995025390e+04, 3.771770186072264e-03, 2.171953969357494e-03, 0.000000000000000e+00, -1.227155716700495e+03
67, 2.245927263960000e-01, 2.220446049250313e-16, 3.469696208129752e+04, 3.750365690828668e-03, 2.161327745304371e-03, 0.000000000000000e+00, -1.203931893799548e+03
68, 2.319701836540000e-01, 2.220446049250313e-16, 3.469515119261231e+04, 3.731530109423421e-03, 2.150887217776743e-03, 0.000000000000000e+00, -1.181239790859415e+03
69, 2.395121189030000e-01, 2.220446049250313e-16, 3.469341711840155e+04, 3.713493497771698e-03, 2.140624037487407e-03, 0.000000000000000e+00, -1.159071914026861e+03
70, 2.472257710730000e-01, 2.220446049250313e-16, 3.469144161913490e+04, 3.692945753696116e-03, 2.130516158792989e-03, 0.000000000000000e+00, -1.137591915837347e+03
71, 2.551187880890000e-01, 2.220446049250313e-16, 3.468946999995244e+04, 3.672438367507881e-03, 2.120550864426714e-03, 0.000000000000000e+00, -1.116600791464126e+03
72, 2.631992566980000e-01, 2.220446049250313e-16, 3.468769653207384e+04, 3.653992010826846e-03, 2.110721741697507e-03, 0.000000000000000e+00, -1.096023275522594e+03
73, 2.714757349350000e-01, 2.220446049250313e-16, 3.468612923763478e+04, 3.637690124226110e-03, 2.101028924406032e-03, 0.000000000000000e+00, -1.075756117921946e+03
74, 2.799572875080000e-01, 2.220446049250313e-16, 3.468432279719425e+04, 3.618900810311174e-03, 2.091459202427661e-03, 0.000000000000000e+00, -1.056074980442971e+03
