"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
24, 0.000000000000000e+00, 2.220446049250313e-16, 3.614038200479766e+04, 1.876379732423109e-02, 7.585945188707609e-03, 0.000000000000000e+00, -1.765259374352633e+04
25, 4.011887597850000e-03, 2.220446049250313e-16, 3.514965990724522e+04, 8.459007819014671e-03, 3.216115254871056e-03, 0.000000000000000e+00, -6.886890529768881e+03
26, 8.056205200680001e-03, 2.220446049250313e-16, 3.492617898314878e+04, 6.134517543755448e-03, 3.138222628787514e-03, 0.000000000000000e+00, -6.223851617250696e+03
27, 1.213422760060000e-02, 2.220446049250313e-16, 3.488696982410731e+04, 5.726691644245287e-03, 3.152319883565794e-03, 0.000000000000000e+00, -5.277639888279250e+03
28, 1.624726554020000e-02, 2.220446049250313e-16, 3.488428712890715e+04, 5.698788148994049e-03, 3.101272506830442e-03, 0.000000000000000e+00, -4.618062127164919e+03
29, 2.039666755470000e-02, 2.220446049250313e-16, 3.486954964339644e+04, 5.545499263645425e-03, 3.037500965282882e-03, 0.000000000000000e+00, -4.195615920628858e+03
30, 2.458382190520000e-02, 2.220446049250313e-16, 3.485534710511655e+04, 5.397774520475238e-03, 2.976568429438222e-03, 0.000000000000000e+00, -3.870237733850809e+03
31, 2.881015861120000e-02, 2.220446049250313e-16, 3.484395476072446e+04, 5.279279423594401e-03, 2.921016106923416e-03, 0.000000000000000e+00, -3.601442497799902e+03
32, 3.307715158840000e-02, 2.220446049250313e-16, 3.483367615567693e+04, 5.172368654485933e-03, 2.870286726277181e-03, 0.000000000000000e+00, -3.372759078440592e+03
33, 3.738632089750000e-02, 2.220446049250313e-16, 3.482425600432699e+04, 5.074386912675405e-03, 2.823660564352248e-03, 0.000000000000000e+00, -3.176137493329784e+03
34, 4.173923511390000e-02, 2.220446049250313e-16, 3.481566737579730e+04, 4.985054082252451e-03, 2.780828854634057e-03, 0.000000000000000e+00, -3.006617341725362e+03
35, 4.613751382460000e-02, 2.220446049250313e-16, 3.480798785765810e+04, 4.905177174165374e-03, 2.741419124456003e-03, 0.000000000000000e+00, -2.857648078543212e+03
36, 5.058283026210000e-02, 2.220446049250313e-16, 3.480067367413473e+04, 4.829100217976581e-03, 2.705013174216992e-03, 0.000000000000000e+00, -2.725710920573669e+03
37, 5.507691408390000e-02, 2.220446049250313e-16, 3.479392197569508e+04, 4.758873833206070e-03, 2.671355656754224e-03, 0.000000000000000e+00, -2.608354253610079e+03
38, 5.962155430870000e-02, 2.220446049250313e-16, 3.478794794264622e+04, 4.696736172990598e-03, 2.640179044373889e-03, 0.000000000000000e+00, -2.502935966636628e+03
39, 6.421860241959999e-02, 2.220446049250313e-16, 3.478222652015553e+04, 4.637225988870770e-03, 2.611113721912292e-03, 0.000000000000000e+00, -2.407654642317113e+03
40, 6.886997564640000e-02, 2.220446049250313e-16, 3.477709382836646e+04, 4.583839364496232e-03, 2.583882564241156e-03, 0.000000000000000e+00, -2.320125687867055e+03
41, 7.357766043930000e-02, 2.220446049250313e-16, 3.477189210238206e+04, 4.529734695320610e-03, 2.558306352070477e-03, 0.000000000000000e+00, -2.240626291854480e+03
42, 7.834371614890000e-02, 2.220446049250313e-16, 3.476726690761044e+04, 4.481626695448650e-03, 2.534185465654466e-03, 0.000000000000000e+00, -2.166739200989415e+03
43, 8.317027892560000e-02, 2.220446049250313e-16, 3.476274009161731e+04, 4.434541961946402e-03, 2.511392694315379e-03, 0.000000000000000e+00, -2.098833844159764e+03
44, 8.805956585650000e-02, 2.220446049250313e-16, 3.475877915065368e+04, 4.393343059677458e-03, 2.489765304918740e-03, 0.000000000000000e+00, -2.035146451675831e+03
45, 9.301387935570000e-02, 2.220446049250313e-16, 3.475505977709396e+04, 4.354656770435583e-03, 2.469226268840994e-03, 0.000000000000000e+00, -1.975935129143491e+03
46, 9.803561182770000e-02, 2.220446049250313e-16, 3.475147743316663e+04, 4.317395766368323e-03, 2.449626824823213e-03, 0.000000000000000e+00, -1.920341042856384e+03
47, 1.031272506240000e-01, 2.220446049250313e-16, 3.474817720494506e+04, 4.283069130042713e-03, 2.430908623517406e-03, 0.000000000000000e+00, -1.867871285765625e+03
48, 1.082913833170000e-01, 2.220446049250313e-16, 3.474464209695959e+04, 4.246299440784231e-03, 2.412982201703931e-03, 0.000000000000000e+00, -1.818760112358211e+03
49, 1.135307033110000e-01, 2.220446049250313e-16, 3.474123995956896e+04, 4.210912817466962e-03, 2.395750618125410e-03, 0.000000000000000e+00, -1.772129335581983e+03
50, 1.188480158220000e-01, 2.220446049250313e-16, 3.473823396875303e+04, 4.179646630218909e-03, 2.379208256965219e-03, 0.000000000000000e+00, -1.727847769265315e+03
51, 1.242462442510000e-01, 2.220446049250313e-16, 3.473513815781700e+04, 4.147446197703611e-03, 2.363276462514460e-03, 0.000000000000000e+00, -1.686024059090003e+03
52, 1.297284369870000e-01, 2.220446049250313e-16, 3.473220137953247e+04, 4.116899910182288e-03, 2.347881269071615e-03, 0.000000000000000e+00, -1.646021093681985e+03
53, 1.352977746630000e-01, 2.220446049250313e-16, 3.472957962591799e+04, 4.089630286138842e-03, 2.333024531007097e-03, 0.000000000000000e+00, -1.607777007810491e+03
54, 1.409575779210000e-01, 2.220446049250313e-16, 3.472678700020459e+04, 4.060583371555470e-03, 2.318650498885207e-03, 0.000000000000000e+00, -1.571467618745853e+03
55, 1.467113157020000e-01, 2.220446049250313e-16, 3.472397963052615e+04, 4.031383100691285e-03, 2.304691670454305e-03, 0.000000000000000e+00, -1.536593343323614e+03
56, 1.525626141330000e-01, 2.220446049250313e-16, 3.472150485188231e+04, 4.005642206186396e-03, 2.291148734354883e-03, 0.000000000000000e+00, -1.503013924280765e+03
57, 1.585152660350000e-01, 2.220446049250313e-16, 3.471916376727152e+04, 3.981291902314364e-03, 2.277996083332258e-03, 0.000000000000000e+00, -1.470762375626536e+03
58, 1.645732411200000e-01, 2.220446049250313e-16, 3.471661905238497e+04, 3.954823580550403e-03, 2.265092358923539e-03, 0.000000000000000e+00, -1.439896254191570e+03
59, 1.707406969350000e-01, 2.220446049250313e-16, 3.471420725204733e+04, 3.929737741777512e-03, 2.252485780241920e-03, 0.000000000000000e+00, -1.410124876792306e+03
60, 1.770219906140000e-01, 2.220446049250313e-16, 3.471207339009173e+04, 3.907542821183716e-03, 2.240201094129186e-03, 0.000000000000000e+00, -1.381302165127456e+03
61, 1.834216915030000e-01, 2.220446049250313e-16, 3.470985265722928e+04, 3.884444330949853e-03, 2.228214177708059e-03, 0.000000000000000e+00, -1.353554256569218e+03
62, 1.899445947530000e-01, 2.220446049250313e-16, 3.470744979916509e+04, 3.859451503371226e-03, 2.216483073801075e-03, 0.000000000000000e+00, -1.326760110907667e+03
63, 1.965957359540000e-01, 2.220446049250313e-16, 3.470520655889445e+04, 3.836118907019861e-03, 2.204999295477496e-03, 0.000000000000000e+00, -1.300736222459006e+03
64, 2.033804069020000e-01, 2.220446049250313e-16, 3.470323281308818e+04, 3.815589401197162e-03, 2.193762139964604e-03, 0.000000000000000e+00, -1.275394725453329e+03
65, 2.103041726230000e-01, 2.220446049250313e-16, 3.470121122798683e+04, 3.794562304912797e-03, 2.182751290832063e-03, 0.000000000000000e+00, -1.250833549455016e+03
66, 2.173728897500000e-01, 2.220446049250313e-16, 3.469901844160791e+04, 3.771754494205290e-03, 2.171936492780759e-03, 0.000000000000000e+00, -1.227031239735959e+03
67, 2.245927263960000e-01, 2.220446049250313e-16, 3.469696181381472e+04, 3.750362908662055e-03, 2.161310315431257e-03, 0.000000000000000e+00, -1.203807510640371e+03
68, 2.319701836540000e-01, 2.220446049250313e-16, 3.469515095537682e+04, 3.731527641867854e-03, 2.150869825925056e-03, 0.000000000000000e+00, -1.181116263089081e+03
69, 2.395121189030000e-01, 2.220446049250313e-16, 3.469341598200187e+04, 3.713481677747149e-03, 2.140606621593514e-03, 0.000000000000000e+00, -1.158949263105700e+03
70, 2.472257710730000e-01, 2.220446049250313e-16, 3.469144015831570e+04, 3.692930559289537e-03, 2.130498759771324e-03, 0.000000000000000e+00, -1.137470539116268e+03
71, 2.551187880890000e-01, 2.220446049250313e-16, 3.468946946575896e+04, 3.672432811205749e-03, 2.120533524313054e-03, 0.000000000000000e+00, -1.116479333641433e+03
72, 2.631992566980000e-01, 2.220446049250313e-16, 3.468769522647840e+04, 3.653978430947935e-03, 2.110704370961338e-03, 0.000000000000000e+00, -1.095903078138591e+03
73, 2.714757349350000e-01, 2.220446049250313e-16, 3.468612851581580e+04, 3.637682616376303e-03, 2.101011542628439e-03, 0.000000000000000e+00, -1.075635497101048e+03
74, 2.799572875080000e-01, 2.220446049250313e-16, 3.468432113636771e+04, 3.618883535569876e-03, 2.091441880744855e-03, 0.000000000000000e+00, -1.055955914438791e+03
75, 2.886535243940000e-01, 2.220446049250313e-16, 3.468237656809465e+04, 3.598657513780347e-03, 2.081977888849396e-03, 0.000000000000000e+00, -1.036743797553067e+03
76, 2.975746430190000e-01, 2.220446049250313e-16, 3.468061718584068e+04, 3.580357665789573e-03, 2.072615760915465e-03, 0.000000000000000e+00, -1.017800603701034e+03
77, 3.067314743950000e-01, 2.220446049250313e-16, 3.467902186789839e+04, 3.563764298557961e-03, 2.063349893340091e-03, 0.000000000000000e+00, -9.991626605316554e+02
78, 3.161355336610000e-01, 2.220446049250313e-16, 3.467746736174123e+04, 3.547595426607207e-03, 2.054176906919581e-03, 0.000000000000000e+00, -9.808063988068675e+02
79, 3.257990755320000e-01, 2.220446049250313e-16, 3.467567205076132e+04, 3.528921873458337e-03, 2.045087097188467e-03, 0.000000000000000e+00, -9.629390666174002e+02
80, 3.357351552200000e-01, 2.220446049250313e-16, 3.467386846905877e+04, 3.510162294110936e-03, 2.036068688434806e-03, 0.000000000000000e+00, -9.453486817355774e+02
81, 3.459576954530000e-01, 2.220446049250313e-16, 3.467221112261281e+04, 3.492923750320495e-03, 2.027113049948330e-03, 0.000000000000000e+00, -9.279846078510177e+02
82, 3.564815603450000e-01, 2.220446049250313e-16, 3.467077712588829e+04, 3.478008332128141e-03, 2.018222164965680e-03, 0.000000000000000e+00, -9.107386536140973e+02
83, 3.673226369200000e-01, 2.220446049250313e-16, 3.466916480579836e+04, 3.461238120599861e-03, 2.009392723283052e-03, 0.000000000000000e+00, -8.938762925650708e+02
84, 3.784979252510000e-01, 2.220446049250313e-16, 3.466737490198789e+04, 3.442620808997465e-03, 2.000611334149636e-03, 0.000000000000000e+00, -8.773548502796561e+02
85, 3.900256382880000e-01, 2.220446049250313e-16, 3.466570159071803e+04, 3.425216210417119e-03, 1.991870231555780e-03, 0.000000000000000e+00, -8.609686741460973e+02
86, 4.019253126140000e-01, 2.220446049250313e-16, 3.466417004517429e+04, 3.409286158503612e-03, 1.983161786530174e-03, 0.000000000000000e+00, -8.447448128026822e+02
87, 4.142179315450000e-01, 2.220446049250313e-16, 3.466277690464563e+04, 3.394795697521129e-03, 1.974488674911933e-03, 0.000000000000000e+00, -8.286077503967274e+02
88, 4.269260622260000e-01, 2.220446049250313e-16, 3.466112934126263e+04, 3.377658910221933e-03, 1.965847615120576e-03, 0.000000000000000e+00, -8.128561293495127e+02
89, 4.400740085990000e-01, 2.220446049250313e-16, 3.465941683409114e+04, 3.359846623636312e-03, 1.957224442135580e-03, 0.000000000000000e+00, -7.972817769021401e+02
90, 4.536879824320000e-01, 2.220446049250313e-16, 3.465782417800250e+04, 3.343280943120837e-03, 1.948609037846629e-03, 0.000000000000000e+00, -7.818050255215162e+02
91, 4.677962949600000e-01, 2.220446049250313e-16, 3.465645527693152e+04, 3.329042603807775e-03, 1.940002670965391e-03, 0.000000000000000e+00, -7.663423729935673e+02
92, 4.824295720830000e-01, 2.220446049250313e-16, 3.465495640416456e+04, 3.313452390975329e-03, 1.931406580766565e-03, 0.000000000000000e+00, -7.511216458585848e+02
93, 4.976209965680000e-01, 2.220446049250313e-16, 3.465324377272599e+04, 3.295638811851520e-03, 1.922809251502756e-03, 0.000000000000000e+00, -7.361523029734070e+02
94, 5.134065813120000e-01, 2.220446049250313e-16, 3.465159795211435e+04, 3.278520151625648e-03, 1.914199072715779e-03, 0.000000000000000e+00, -7.212294290771664e+02
95, 5.298254783930000e-01, 2.220446049250313e-16, 3.465009604255675e+04, 3.262898352247961e-03, 1.905569788041729e-03, 0.000000000000000e+00, -7.063439650935214e+02
96, 5.469203295140000e-01, 2.220446049250313e-16, 3.464868429772465e+04, 3.248214382479059e-03, 1.896924098254118e-03, 0.000000000000000e+00, -6.914916663178155e+02
97, 5.647376644470000e-01, 2.220446049250313e-16, 3.464701204909207e+04, 3.230820836699030e-03, 1.888258838941938e-03, 0.000000000000000e+00, -6.769159597272095e+02
98, 5.833283553420000e-01, 2.220446049250313e-16, 3.464529924415316e+04, 3.213005452947515e-03, 1.879557849801916e-03, 0.000000000000000e+00, -6.623970361381818e+02
99, 6.027481362320000e-01, 2.220446049250313e-16, 3.464371132962104e+04, 3.196489090744477e-03, 1.870809043690391e-03, 0.000000000000000e+00, -6.478742612351182e+02
100, 6.230581989500000e-01, 2.220446049250313e-16, 3.464234763341235e+04, 3.182304888722137e-03, 1.862016581410994e-03, 0.000000000000000e+00, -6.332686884077783e+02
101, 6.443258788700000e-01, 2.220446049250313e-16, 3.464069832436478e+04, 3.165149944256704e-03, 1.853181028464955e-03, 0.000000000000000e+00, -6.189343603498783e+02
102, 6.666254466970000e-01, 2.220446049250313e-16, 3.463894677655790e+04, 3.146931584635141e-03, 1.844283412133983e-03, 0.000000000000000e+00, -6.046524582166767e+02
103, 6.900390259370000e-01, 2.220446049250313e-16, 3.463731239804349e+04, 3.129931936999867e-03, 1.835309312498415e-03, 0.000000000000000e+00, -5.903231740524332e+02
104, 7.146576599530000e-01, 2.220446049250313e-16, 3.463590156777023e+04, 3.115257479824224e-03, 1.826262277919694e-03, 0.000000000000000e+00, -5.758874934642968e+02
105, 7.405825578610000e-01, 2.220446049250313e-16, 3.463418241728601e+04, 3.097376094205151e-03, 1.817140729941205e-03, 0.000000000000000e+00, -5.616845597268455e+02
106, 7.679265552350000e-01, 2.220446049250313e-16, 3.463238157229716e+04, 3.078644980215183e-03, 1.807923124297615e-03, 0.000000000000000e+00, -5.474852679664280e+02
