"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
24, 0.000000000000000e+00, 2.220446049250313e-16, 3.636121227286990e+04, 2.106071735305332e-02, 7.692974529841187e-03, 0.000000000000000e+00, -1.723258544092517e+04
25, 4.011887597850000e-03, 2.220446049250313e-16, 3.515930548936807e+04, 8.559334332046755e-03, 2.244957557253190e-03, 0.000000000000000e+00, -3.978610249153030e+03
26, 8.056205200680001e-03, 2.220446049250313e-16, 3.484395337804678e+04, 5.279265041960584e-03, 1.488323594710534e-03, 0.000000000000000e+00, -3.455300125093380e+03
27, 1.213422760060000e-02, 2.220446049250313e-16, 3.454218989814581e+04, 2.140535070737157e-03, 1.333972275774967e-03, 0.000000000000000e+00, -2.578225649472779e+03
28, 1.624726554020000e-02, 2.220446049250313e-16, 3.445343118379272e+04, 1.217329794079086e-03, 2.018076233015553e-03, 0.000000000000000e+00, -4.920773328193019e+03
29, 2.039666755470000e-02, 2.220446049250313e-16, 3.466245856185177e+04, 3.391484521269687e-03, 2.683489140567062e-03, 0.000000000000000e+00, -6.292214428665443e+03
30, 2.458382190520000e-02, 2.220446049250313e-16, 3.478189373943154e+04, 4.633764639496819e-03, 2.898459337540984e-03, 0.000000000000000e+00, -6.041282754042222e+03
31, 2.881015861120000e-02, 2.220446049250313e-16, 3.481623230006255e+04, 4.990930024309365e-03, 2.931443053778556e-03, 0.000000000000000e+00, -5.769259995516219e+03
32, 3.307715158840000e-02, 2.220446049250313e-16, 3.482234106824244e+04, 5.054469103921611e-03, 2.901338568154704e-03, 0.000000000000000e+00, -5.459623365958111e+03
33, 3.738632089750000e-02, 2.220446049250313e-16, 3.482038715513605e+04, 5.034145883794983e-03, 2.849514352521577e-03, 0.000000000000000e+00, -5.116654243654366e+03
34, 4.173923511390000e-02, 2.220446049250313e-16, 3.481473994613359e+04, 4.975407615812369e-03, 2.799958030922100e-03, 0.000000000000000e+00, -4.850772810450207e+03
35, 4.613751382460000e-02, 2.220446049250313e-16, 3.480676138917077e+04, 4.892420317698825e-03, 2.755202764041928e-03, 0.000000000000000e+00, -4.628232654542181e+03
36, 5.058283026210000e-02, 2.220446049250313e-16, 3.479898583573401e+04, 4.811544518470914e-03, 2.715195303564999e-03, 0.000000000000000e+00, -4.435530239080116e+03
