"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
24, 0.000000000000000e+00, 2.220446049250313e-16, 3.636127490542592e+04, 2.106136881253684e-02, 7.692154014820487e-03, 0.000000000000000e+00
25, 4.011887597850000e-03, 2.220446049250313e-16, 3.515911624807573e+04, 8.557365978168221e-03, 2.244953920889857e-03, 0.000000000000000e+00
26, 8.056205200680001e-03, 2.220446049250313e-16, 3.484432344663567e+04, 5.283114233293207e-03, 1.488038970597160e-03, 0.000000000000000e+00
27, 1.213422760060000e-02, 2.220446049250313e-16, 3.454326074772343e+04, 2.151673289533789e-03, 1.332973361978286e-03, 0.000000000000000e+00
28, 1.624726554020000e-02, 2.220446049250313e-16, 3.445743742403672e+04, 1.258999867375805e-03, 2.005781363029526e-03, 0.000000000000000e+00
29, 2.039666755470000e-02, 2.220446049250313e-16, 3.466484482559910e+04, 3.416304746518420e-03, 2.668084729941732e-03, 0.000000000000000e+00
30, 2.458382190520000e-02, 2.220446049250313e-16, 3.478106997263261e+04, 4.625196400749205e-03, 2.883251146377337e-03, 0.000000000000000e+00
31, 2.881015861120000e-02, 2.220446049250313e-16, 3.481635102318701e+04, 4.992164898155427e-03, 2.916142019338091e-03, 0.000000000000000e+00
32, 3.307715158840000e-02, 2.220446049250313e-16, 3.482258368567097e+04, 5.056992638561100e-03, 2.887044285123649e-03, 0.000000000000000e+00
33, 3.738632089750000e-02, 2.220446049250313e-16, 3.481999296421817e+04, 5.030045789082639e-03, 2.836124105697660e-03, 0.000000000000000e+00
34, 4.173923511390000e-02, 2.220446049250313e-16, 3.481433591778390e+04, 4.971205199102427e-03, 2.787094916634094e-03, 0.000000000000000e+00
35, 4.613751382460000e-02, 2.220446049250313e-16, 3.480619892764360e+04, 4.886569991298969e-03, 2.743003063417933e-03, 0.000000000000000e+00
36, 5.058283026210000e-02, 2.220446049250313e-16, 3.479835137381418e+04, 4.804945294986214e-03, 2.703343129196482e-03, 0.000000000000000e+00
37, 5.507691408390000e-02, 2.220446049250313e-16, 3.479168442733942e+04, 4.735600440122592e-03, 2.667617180731729e-03, 0.000000000000000e+00
38, 5.962155430870000e-02, 2.220446049250313e-16, 3.478552795688627e+04, 4.671565195252705e-03, 2.635361254552161e-03, 0.000000000000000e+00
39, 6.421860241959999e-02, 2.220446049250313e-16, 3.477961746527151e+04, 4.610088448026672e-03, 2.605980801600782e-03, 0.000000000000000e+00
40, 6.886997564640000e-02, 2.220446049250313e-16, 3.477477451948060e+04, 4.559715556290665e-03, 2.578939926613978e-03, 0.000000000000000e+00
41, 7.357766043930000e-02, 2.220446049250313e-16, 3.476964963991509e+04, 4.506410189132050e-03, 2.553914500574230e-03, 0.000000000000000e+00
42, 7.834371614890000e-02, 2.220446049250313e-16, 3.476439048296650e+04, 4.451708163746740e-03, 2.530545481717509e-03, 0.000000000000000e+00
43, 8.317027892560000e-02, 2.220446049250313e-16, 3.475925922814148e+04, 4.398336485654472e-03, 2.508634110338206e-03, 0.000000000000000e+00
44, 8.805956585650000e-02, 2.220446049250313e-16, 3.475540743555981e+04, 4.358272867542136e-03, 2.488026319992579e-03, 0.000000000000000e+00
45, 9.301387935570000e-02, 2.220446049250313e-16, 3.475231546931720e+04, 4.326112424804344e-03, 2.468601536545582e-03, 0.000000000000000e+00
46, 9.803561182770000e-02, 2.220446049250313e-16, 3.474948900051044e+04, 4.296713498335809e-03, 2.450243104633867e-03, 0.000000000000000e+00
47, 1.031272506240000e-01, 2.220446049250313e-16, 3.474631674582254e+04, 4.263717952060489e-03, 2.432779796211023e-03, 0.000000000000000e+00
