"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
24, 0.000000000000000e+00, 2.220446049250313e-16, 3.636143584515635e+04, 2.106304279361507e-02, 7.692835276309980e-03, 0.000000000000000e+00, -1.721560823994297e+04
25, 4.011887597850000e-03, 2.220446049250313e-16, 3.515913722809716e+04, 8.557584197490444e-03, 2.244956849399795e-03, 0.000000000000000e+00, -3.944651272221132e+03
26, 8.056205200680001e-03, 2.220446049250313e-16, 3.484434367055173e+04, 5.283324588142998e-03, 1.488004071512723e-03, 0.000000000000000e+00, -3.410146932267911e+03
27, 1.213422760060000e-02, 2.220446049250313e-16, 3.454329395379501e+04, 2.152018675569598e-03, 1.332929723036854e-03, 0.000000000000000e+00, -2.652492340639575e+03
28, 1.624726554020000e-02, 2.220446049250313e-16, 3.445740698072622e+04, 1.258683217623777e-03, 2.005429015658075e-03, 0.000000000000000e+00, -5.968181427288760e+03
29, 2.039666755470000e-02, 2.220446049250313e-16, 3.466478326323224e+04, 3.415664418384486e-03, 2.667887289078357e-03, 0.000000000000000e+00, -7.170938427934659e+03
30, 2.458382190520000e-02, 2.220446049250313e-16, 3.478098331274782e+04, 4.624295026010974e-03, 2.883179174062331e-03, 0.000000000000000e+00, -6.458241131363885e+03
31, 2.881015861120000e-02, 2.220446049250313e-16, 3.481628077903931e+04, 4.991434268286791e-03, 2.916516437236112e-03, 0.000000000000000e+00, -5.859962770097462e+03
32, 3.307715158840000e-02, 2.220446049250313e-16, 3.482258279083244e+04, 5.056983331084555e-03, 2.887434023233345e-03, 0.000000000000000e+00, -5.368002178434770e+03
33, 3.738632089750000e-02, 2.220446049250313e-16, 3.482006128437075e+04, 5.030756406916835e-03, 2.836386829796748e-03, 0.000000000000000e+00, -4.951007927051023e+03
34, 4.173923511390000e-02, 2.220446049250313e-16, 3.481440571921498e+04, 4.971931224146364e-03, 2.787222367733914e-03, 0.000000000000000e+00, -4.625217041728869e+03
35, 4.613751382460000e-02, 2.220446049250313e-16, 3.480623958949292e+04, 4.886992927053796e-03, 2.743039437055570e-03, 0.000000000000000e+00, -4.364865843013441e+03
36, 5.058283026210000e-02, 2.220446049250313e-16, 3.479837617826561e+04, 4.805203293320445e-03, 2.703336994100351e-03, 0.000000000000000e+00, -4.146576677715648e+03
37, 5.507691408390000e-02, 2.220446049250313e-16, 3.479169989961097e+04, 4.735761371731879e-03, 2.667592044679557e-03, 0.000000000000000e+00, -3.957897785778564e+03
38, 5.962155430870000e-02, 2.220446049250313e-16, 3.478553530325626e+04, 4.671641606989702e-03, 2.635327567091603e-03, 0.000000000000000e+00, -3.793442548510310e+03
39, 6.421860241959999e-02, 2.220446049250313e-16, 3.477962439823191e+04, 4.610160559770050e-03, 2.605943431047085e-03, 0.000000000000000e+00, -3.648903833509001e+03
40, 6.886997564640000e-02, 2.220446049250313e-16, 3.477478246180266e+04, 4.559798166698980e-03, 2.578900722522591e-03, 0.000000000000000e+00, -3.518998216610326e+03
41, 7.357766043930000e-02, 2.220446049250313e-16, 3.476965609420909e+04, 4.506477322126592e-03, 2.553874590796665e-03, 0.000000000000000e+00, -3.402574515050270e+03
42, 7.834371614890000e-02, 2.220446049250313e-16, 3.476439403957031e+04, 4.451745157020372e-03, 2.530505189728784e-03, 0.000000000000000e+00, -3.296600959170515e+03
43, 8.317027892560000e-02, 2.220446049250313e-16, 3.475926025028726e+04, 4.398347117290917e-03, 2.508593921847662e-03, 0.000000000000000e+00, -3.199731535135917e+03
44, 8.805956585650000e-02, 2.220446049250313e-16, 3.475540788805573e+04, 4.358277574084129e-03, 2.487986648664450e-03, 0.000000000000000e+00, -3.109977991575082e+03
45, 9.301387935570000e-02, 2.220446049250313e-16, 3.475231494044770e+04, 4.326106923878462e-03, 2.468562846650588e-03, 0.000000000000000e+00, -3.026915086990907e+03
46, 9.803561182770000e-02, 2.220446049250313e-16, 3.474948808822743e+04, 4.296704009414145e-03, 2.450205853492188e-03, 0.000000000000000e+00, -2.950080757767577e+03
47, 1.031272506240000e-01, 2.220446049250313e-16, 3.474631587073542e+04, 4.263708850024186e-03, 2.432744357569840e-03, 0.000000000000000e+00, -2.878378572897265e+03
48, 1.082913833170000e-01, 2.220446049250313e-16, 3.474241712601860e+04, 4.223156869059276e-03, 2.416093013281095e-03, 0.000000000000000e+00, -2.811756052263668e+03
49, 1.135307033110000e-01, 2.220446049250313e-16, 3.473846545075814e+04, 4.182054342071585e-03, 2.400149638504524e-03, 0.000000000000000e+00, -2.749081506646947e+03
50, 1.188480158220000e-01, 2.220446049250313e-16, 3.473467400653391e+04, 4.142618424826973e-03, 2.384861343049419e-03, 0.000000000000000e+00, -2.689893167931554e+03
51, 1.242462442510000e-01, 2.220446049250313e-16, 3.473149492810422e+04, 4.109551902823010e-03, 2.370193806107408e-03, 0.000000000000000e+00, -2.633762382176355e+03
52, 1.297284369870000e-01, 2.220446049250313e-16, 3.472915488588251e+04, 4.085212441143894e-03, 2.356105742916563e-03, 0.000000000000000e+00, -2.580208334496162e+03
53, 1.352977746630000e-01, 2.220446049250313e-16, 3.472698202352379e+04, 4.062611865981877e-03, 2.342555593218994e-03, 0.000000000000000e+00, -2.529511848824146e+03
54, 1.409575779210000e-01, 2.220446049250313e-16, 3.472470345714693e+04, 4.038911832495994e-03, 2.329482349345940e-03, 0.000000000000000e+00, -2.481429930004808e+03
