"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
24, 0.000000000000000e+00, 2.220446049250313e-16, 3.636098859638671e+04, 2.105839082871088e-02, 7.692035678714767e-03, 0.000000000000000e+00
25, 4.011887597850000e-03, 2.220446049250313e-16, 3.515925844314249e+04, 8.558844990532267e-03, 2.244955376419085e-03, 0.000000000000000e+00
26, 8.056205200680001e-03, 2.220446049250313e-16, 3.484392747648526e+04, 5.278995632264354e-03, 1.488369263987143e-03, 0.000000000000000e+00
27, 1.213422760060000e-02, 2.220446049250313e-16, 3.454215172919285e+04, 2.140138064324498e-03, 1.334027837644444e-03, 0.000000000000000e+00
28, 1.624726554020000e-02, 2.220446049250313e-16, 3.445346659137663e+04, 1.217698078686788e-03, 2.018480194242000e-03, 0.000000000000000e+00
29, 2.039666755470000e-02, 2.220446049250313e-16, 3.466252840928341e+04, 3.392211024778880e-03, 2.683716969328212e-03, 0.000000000000000e+00
30, 2.458382190520000e-02, 2.220446049250313e-16, 3.478198255576317e+04, 4.634688444067545e-03, 2.898544186183672e-03, 0.000000000000000e+00
31, 2.881015861120000e-02, 2.220446049250313e-16, 3.481630577564579e+04, 4.991694265281594e-03, 2.931077646828449e-03, 0.000000000000000e+00
32, 3.307715158840000e-02, 2.220446049250313e-16, 3.482235476437066e+04, 5.054611561346027e-03, 2.900948602046901e-03, 0.000000000000000e+00
33, 3.738632089750000e-02, 2.220446049250313e-16, 3.482031923536379e+04, 5.033439430433263e-03, 2.849252472970285e-03, 0.000000000000000e+00
34, 4.173923511390000e-02, 2.220446049250313e-16, 3.481466665591236e+04, 4.974645302844421e-03, 2.799833117333897e-03, 0.000000000000000e+00
35, 4.613751382460000e-02, 2.220446049250313e-16, 3.480672202169820e+04, 4.892010845134118e-03, 2.755170737527793e-03, 0.000000000000000e+00
36, 5.058283026210000e-02, 2.220446049250313e-16, 3.479896224421654e+04, 4.811299136216651e-03, 2.715206631340522e-03, 0.000000000000000e+00
37, 5.507691408390000e-02, 2.220446049250313e-16, 3.479221534283079e+04, 4.741122647002952e-03, 2.679239510854632e-03, 0.000000000000000e+00
38, 5.962155430870000e-02, 2.220446049250313e-16, 3.478617409332499e+04, 4.678285848813500e-03, 2.646758952916246e-03, 0.000000000000000e+00
39, 6.421860241959999e-02, 2.220446049250313e-16, 3.478038447041424e+04, 4.618066292232246e-03, 2.617178681889916e-03, 0.000000000000000e+00
40, 6.886997564640000e-02, 2.220446049250313e-16, 3.477544843798122e+04, 4.566725179180620e-03, 2.589933591299809e-03, 0.000000000000000e+00
41, 7.357766043930000e-02, 2.220446049250313e-16, 3.477049395713860e+04, 4.515192178839784e-03, 2.564715900801082e-03, 0.000000000000000e+00
42, 7.834371614890000e-02, 2.220446049250313e-16, 3.476510071840075e+04, 4.459095529656155e-03, 2.541163622072383e-03, 0.000000000000000e+00
43, 8.317027892560000e-02, 2.220446049250313e-16, 3.476002740506341e+04, 4.406326517877287e-03, 2.519076222461911e-03, 0.000000000000000e+00
