"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
24, 0.000000000000000e+00, 2.220446049250313e-16, 3.636118680395672e+04, 2.106045244345874e-02, 7.692850200345686e-03, 0.000000000000000e+00, -1.723235167707489e+04
25, 4.011887597850000e-03, 2.220446049250313e-16, 3.515930196622703e+04, 8.559297686829146e-03, 2.244956700020412e-03, 0.000000000000000e+00, -3.978678076708182e+03
26, 8.056205200680001e-03, 2.220446049250313e-16, 3.484394972512065e+04, 5.279227046810396e-03, 1.488329645564648e-03, 0.000000000000000e+00, -3.455326310129672e+03
27, 1.213422760060000e-02, 2.220446049250313e-16, 3.454218358529039e+04, 2.140469408886660e-03, 1.333980120850760e-03, 0.000000000000000e+00, -2.578225164073699e+03
28, 1.624726554020000e-02, 2.220446049250313e-16, 3.445343671888861e+04, 1.217387366225848e-03, 2.018141869322606e-03, 0.000000000000000e+00, -4.921003505711810e+03
29, 2.039666755470000e-02, 2.220446049250313e-16, 3.466247258505371e+04, 3.391630380683205e-03, 2.683526690156208e-03, 0.000000000000000e+00, -6.292276600012603e+03
30, 2.458382190520000e-02, 2.220446049250313e-16, 3.478189981408537e+04, 4.633827823743044e-03, 2.898476422850868e-03, 0.000000000000000e+00, -6.041312806012565e+03
31, 2.881015861120000e-02, 2.220446049250313e-16, 3.481623476415726e+04, 4.990955654077142e-03, 2.931451738370029e-03, 0.000000000000000e+00, -5.769284064713087e+03
32, 3.307715158840000e-02, 2.220446049250313e-16, 3.482234293773992e+04, 5.054488549110172e-03, 2.901344378915261e-03, 0.000000000000000e+00, -5.459639833393015e+03
33, 3.738632089750000e-02, 2.220446049250313e-16, 3.482038774663467e+04, 5.034152036144631e-03, 2.849519183067622e-03, 0.000000000000000e+00, -5.116672883403886e+03
34, 4.173923511390000e-02, 2.220446049250313e-16, 3.481474030713379e+04, 4.975411370680768e-03, 2.799962771277234e-03, 0.000000000000000e+00, -4.850795246823201e+03
35, 4.613751382460000e-02, 2.220446049250313e-16, 3.480676207910594e+04, 4.892427493915785e-03, 2.755207453064905e-03, 0.000000000000000e+00, -4.628256811210922e+03
36, 5.058283026210000e-02, 2.220446049250313e-16, 3.479898643565102e+04, 4.811550758382637e-03, 2.715199772123476e-03, 0.000000000000000e+00, -4.435554526092237e+03
37, 5.507691408390000e-02, 2.220446049250313e-16, 3.479223339162470e+04, 4.741310377772830e-03, 2.679213498368648e-03, 0.000000000000000e+00, -4.264986297360202e+03
38, 5.962155430870000e-02, 2.220446049250313e-16, 3.478618214015052e+04, 4.678369546192922e-03, 2.646724395107846e-03, 0.000000000000000e+00, -4.113712213097999e+03
39, 6.421860241959999e-02, 2.220446049250313e-16, 3.478038973727317e+04, 4.618121074368230e-03, 2.617140303243940e-03, 0.000000000000000e+00, -3.979206002478432e+03
40, 6.886997564640000e-02, 2.220446049250313e-16, 3.477545463672255e+04, 4.566789654097191e-03, 2.589893213435797e-03, 0.000000000000000e+00, -3.857303735015596e+03
