"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
24, 0.000000000000000e+00, 2.220446049250313e-16, 3.557452488627261e+04, 1.287815238824508e-02, 5.428954967271206e-03, 0.000000000000000e+00, -3.492446491025084e+03
25, 4.011887597850000e-03, 2.220446049250313e-16, 3.495918475489804e+04, 6.477820202668098e-03, 2.296516555653942e-03, 0.000000000000000e+00, -2.406260810508028e+03
26, 8.056205200680001e-03, 2.220446049250313e-16, 3.483813683570387e+04, 5.218765488513726e-03, 1.592541813034070e-03, 0.000000000000000e+00, -2.963002172757901e+03
27, 1.213422760060000e-02, 2.220446049250313e-16, 3.475019571614608e+04, 4.304064253793200e-03, 1.292009839149241e-03, 0.000000000000000e+00, -2.773873925698266e+03
28, 1.624726554020000e-02, 2.220446049250313e-16, 3.466568278396609e+04, 3.425020595904725e-03, 1.128992085142964e-03, 0.000000000000000e+00, -2.572613272715034e+03
29, 2.039666755470000e-02, 2.220446049250313e-16, 3.456075660382512e+04, 2.333652791946025e-03, 1.049852839333696e-03, 0.000000000000000e+00, -2.422882475559762e+03
30, 2.458382190520000e-02, 2.220446049250313e-16, 3.445491585648462e+04, 1.232772307788990e-03, 1.079770775741055e-03, 0.000000000000000e+00, -2.287126880167481e+03
31, 2.881015861120000e-02, 2.220446049250313e-16, 3.440715296046954e+04, 7.359764951075986e-04, 1.300264902284285e-03, 0.000000000000000e+00, -2.230837843147175e+03
32, 3.307715158840000e-02, 2.220446049250313e-16, 3.449384880780879e+04, 1.637725290268678e-03, 1.785589649994096e-03, 0.000000000000000e+00, -2.690524714737156e+03
33, 3.738632089750000e-02, 2.220446049250313e-16, 3.462458406057514e+04, 2.997540786457543e-03, 2.321067113121056e-03, 0.000000000000000e+00, -3.591147071303166e+03
34, 4.173923511390000e-02, 2.220446049250313e-16, 3.471108385608919e+04, 3.897250389401266e-03, 2.638674958983215e-03, 0.000000000000000e+00, -4.075261829712723e+03
35, 4.613751382460000e-02, 2.220446049250313e-16, 3.475730657032180e+04, 4.378026322131147e-03, 2.750569054555814e-03, 0.000000000000000e+00, -4.099975260940198e+03
36, 5.058283026210000e-02, 2.220446049250313e-16, 3.477587621712183e+04, 4.571174634794489e-03, 2.753424861946229e-03, 0.000000000000000e+00, -3.931411606182833e+03
37, 5.507691408390000e-02, 2.220446049250313e-16, 3.477988928922311e+04, 4.612915768231470e-03, 2.716420308105968e-03, 0.000000000000000e+00, -3.735915640583267e+03
38, 5.962155430870000e-02, 2.220446049250313e-16, 3.477769594489958e+04, 4.590102154179434e-03, 2.671399406039851e-03, 0.000000000000000e+00, -3.558820565629102e+03
39, 6.421860241959999e-02, 2.220446049250313e-16, 3.477333942181512e+04, 4.544788686890374e-03, 2.628870496704174e-03, 0.000000000000000e+00, -3.403883572541483e+03
40, 6.886997564640000e-02, 2.220446049250313e-16, 3.476838306451054e+04, 4.493236168921375e-03, 2.590848083120041e-03, 0.000000000000000e+00, -3.266701124468699e+03
41, 7.357766043930000e-02, 2.220446049250313e-16, 3.476342784410466e+04, 4.441695476167396e-03, 2.556984335573798e-03, 0.000000000000000e+00, -3.143929877457089e+03
42, 7.834371614890000e-02, 2.220446049250313e-16, 3.475870205898895e+04, 4.392541206786906e-03, 2.526623445715175e-03, 0.000000000000000e+00, -3.033342011359342e+03
43, 8.317027892560000e-02, 2.220446049250313e-16, 3.475421722425552e+04, 4.345893132611624e-03, 2.499054893198124e-03, 0.000000000000000e+00, -2.932886600796082e+03
44, 8.805956585650000e-02, 2.220446049250313e-16, 3.474996619575210e+04, 4.301676945230128e-03, 2.473763748354656e-03, 0.000000000000000e+00, -2.841155916621677e+03
45, 9.301387935570000e-02, 2.220446049250313e-16, 3.474592165230114e+04, 4.259608469105681e-03, 2.450357829031416e-03, 0.000000000000000e+00, -2.756952158876967e+03
46, 9.803561182770000e-02, 2.220446049250313e-16, 3.474207691958018e+04, 4.219618282663725e-03, 2.428556024580418e-03, 0.000000000000000e+00, -2.679361882626173e+03
47, 1.031272506240000e-01, 2.220446049250313e-16, 3.473840819481212e+04, 4.181458806276923e-03, 2.408125942215222e-03, 0.000000000000000e+00, -2.607552746864898e+03
48, 1.082913833170000e-01, 2.220446049250313e-16, 3.473491213583751e+04, 4.145095277169950e-03, 2.388892477290529e-03, 0.000000000000000e+00, -2.540871967479502e+03
49, 1.135307033110000e-01, 2.220446049250313e-16, 3.473156644378877e+04, 4.110295758317302e-03, 2.370688079398008e-03, 0.000000000000000e+00, -2.478665962840427e+03
50, 1.188480158220000e-01, 2.220446049250313e-16, 3.472834734273048e+04, 4.076812949279682e-03, 2.353372258714637e-03, 0.000000000000000e+00, -2.420358706929343e+03
51, 1.242462442510000e-01, 2.220446049250313e-16, 3.472524796223425e+04, 4.044575388727536e-03, 2.336872149930273e-03, 0.000000000000000e+00, -2.365688816275823e+03
52, 1.297284369870000e-01, 2.220446049250313e-16, 3.472227564552121e+04, 4.013659455645579e-03, 2.321116448889868e-03, 0.000000000000000e+00, -2.314278456483818e+03
53, 1.352977746630000e-01, 2.220446049250313e-16, 3.471941122271134e+04, 3.983865758520513e-03, 2.306040930935271e-03, 0.000000000000000e+00, -2.265812666456467e+03
54, 1.409575779210000e-01, 2.220446049250313e-16, 3.471666128737583e+04, 3.955262879009239e-03, 2.291590815409986e-03, 0.000000000000000e+00, -2.220010177816438e+03
55, 1.467113157020000e-01, 2.220446049250313e-16, 3.471401718692928e+04, 3.927760819047511e-03, 2.277706479553843e-03, 0.000000000000000e+00, -2.176580494084202e+03
56, 1.525626141330000e-01, 2.220446049250313e-16, 3.471145252925882e+04, 3.901085066571289e-03, 2.264338584316944e-03, 0.000000000000000e+00, -2.135320305633984e+03
57, 1.585152660350000e-01, 2.220446049250313e-16, 3.470898640947128e+04, 3.875434235356260e-03, 2.251450132227897e-03, 0.000000000000000e+00, -2.096043196576764e+03
58, 1.645732411200000e-01, 2.220446049250313e-16, 3.470660989813908e+04, 3.850715447821805e-03, 2.238996903650433e-03, 0.000000000000000e+00, -2.058547512900649e+03
59, 1.707406969350000e-01, 2.220446049250313e-16, 3.470429018853857e+04, 3.826587471666370e-03, 2.226941308886771e-03, 0.000000000000000e+00, -2.022686419404162e+03
60, 1.770219906140000e-01, 2.220446049250313e-16, 3.470204472998554e+04, 3.803231802312788e-03, 2.215260261015298e-03, 0.000000000000000e+00, -1.988337886045209e+03
61, 1.834216915030000e-01, 2.220446049250313e-16, 3.469987370235969e+04, 3.780650310742531e-03, 2.203923230037540e-03, 0.000000000000000e+00, -1.955366624486531e+03
62, 1.899445947530000e-01, 2.220446049250313e-16, 3.469775325750007e+04, 3.758594945277518e-03, 2.192899562666752e-03, 0.000000000000000e+00, -1.923675990796246e+03
