"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
24, 0.000000000000000e+00, 2.220446049250313e-16, 3.636118782821835e+04, 2.106046309710274e-02, 7.692855412770025e-03, 0.000000000000000e+00, -1.723236005477447e+04
25, 4.011887597850000e-03, 2.220446049250313e-16, 3.515930208343202e+04, 8.559298905912420e-03, 2.244956743051273e-03, 0.000000000000000e+00, -3.978675617074995e+03
26, 8.056205200680001e-03, 2.220446049250313e-16, 3.484395011149412e+04, 5.279231065593525e-03, 1.488329476131542e-03, 0.000000000000000e+00, -3.455328012681381e+03
27, 1.213422760060000e-02, 2.220446049250313e-16, 3.454218324268499e+04, 2.140465845347937e-03, 1.333979699293787e-03, 0.000000000000000e+00, -2.578223977049278e+03
28, 1.624726554020000e-02, 2.220446049250313e-16, 3.445343629326839e+04, 1.217382939225768e-03, 2.018140202645633e-03, 0.000000000000000e+00, -4.921026672199845e+03
29, 2.039666755470000e-02, 2.220446049250313e-16, 3.466245747636810e+04, 3.391473230837398e-03, 2.683528328054315e-03, 0.000000000000000e+00, -6.292058259606557e+03
30, 2.458382190520000e-02, 2.220446049250313e-16, 3.478195094534127e+04, 4.634359654849384e-03, 2.898462145674962e-03, 0.000000000000000e+00, -6.041417841602974e+03
31, 2.881015861120000e-02, 2.220446049250313e-16, 3.481629177218679e+04, 4.991548611220076e-03, 2.931040060584359e-03, 0.000000000000000e+00, -5.767165843708905e+03
32, 3.307715158840000e-02, 2.220446049250313e-16, 3.482234529668547e+04, 5.054513085190830e-03, 2.900924711004569e-03, 0.000000000000000e+00, -5.457205621299664e+03
33, 3.738632089750000e-02, 2.220446049250313e-16, 3.482031687270647e+04, 5.033414855745310e-03, 2.849232464361795e-03, 0.000000000000000e+00, -5.114806086150783e+03
34, 4.173923511390000e-02, 2.220446049250313e-16, 3.481466582663957e+04, 4.974636677336284e-03, 2.799812571118136e-03, 0.000000000000000e+00, -4.849556932661395e+03
35, 4.613751382460000e-02, 2.220446049250313e-16, 3.480671975757227e+04, 4.891987295299958e-03, 2.755149770028342e-03, 0.000000000000000e+00, -4.627490185844193e+03
