"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
3483, 2.217475175857540e-01, 5.476229265332220e-02, 2.409607720065386e+04, -1.017808281129304e+00, 4.438697503740128e-03, 4.185031144847291e-04
3457, 2.117756903171540e-01, 5.379525944590570e-02, 2.412778730375919e+04, -1.015610188338085e+00, 4.468596409608079e-03, 4.404066115433588e-04
3431, 2.020680904388430e-01, 5.282276868820190e-02, 2.413120269585249e+04, -1.015373438911111e+00, 4.512339252655593e-03, 4.634093771328135e-04
3405, 1.926559209823610e-01, 5.183169245719910e-02, 2.413290455133922e+04, -1.015255469055742e+00, 4.553188959011197e-03, 4.870149959865833e-04
3379, 1.835020482540130e-01, 5.083692073822020e-02, 2.412835630436304e+04, -1.015570746141339e+00, 4.596782706060729e-03, 5.100667911199749e-04
3353, 1.746245622634890e-01, 4.983090236783030e-02, 2.415225579394617e+04, -1.013914072380550e+00, 4.639587171052356e-03, 5.370889917202326e-04
3327, 1.660248339176180e-01, 4.881371930241580e-02, 2.417981937422351e+04, -1.012003409810122e+00, 4.674418383198760e-03, 5.625875868543459e-04
3301, 1.576814949512480e-01, 4.779172688722610e-02, 2.426499871448399e+04, -1.006098916432556e+00, 4.711304475220063e-03, 5.949294760165634e-04
3275, 1.496536135673520e-01, 4.674641042947770e-02, 2.441191939755567e+04, -9.959146135538134e-01, 4.735691640623683e-03, 6.313762691199821e-04
3249, 1.419069468975070e-01, 4.568861797451970e-02, 2.456383067544204e+04, -9.853843707565021e-01, 4.734538443199480e-03, 6.629034410206367e-04
3223, 1.344466507434840e-01, 4.461721703410150e-02, 2.473300821468025e+04, -9.736572587947253e-01, 4.711643666191379e-03, 6.942529992684269e-04
3197, 1.272729039192200e-01, 4.353231564164160e-02, 2.487863348459167e+04, -9.635627518500979e-01, 4.680386244259841e-03, 7.226683386619804e-04
3171, 1.203565001487730e-01, 4.244164749979970e-02, 2.493452058990991e+04, -9.596887485737893e-01, 4.690242016260521e-03, 7.510689025851336e-04
3145, 1.136637628078460e-01, 4.135302454233170e-02, 2.492847552527130e+04, -9.601077826261372e-01, 4.733704932851935e-03, 7.843279726221399e-04
3119, 1.072062253952030e-01, 4.026277735829350e-02, 2.495458884278783e+04, -9.582976499123697e-01, 4.762464918133232e-03, 8.238075993312842e-04
3093, 1.010102331638340e-01, 3.916422650218010e-02, 2.496356097340947e+04, -9.576757164050645e-01, 4.788211315759889e-03, 8.614362708942967e-04
3067, 9.501701593399051e-02, 3.806984424591060e-02, 2.496485055700266e+04, -9.575863245670612e-01, 4.804960617533725e-03, 8.998634116004310e-04
3041, 8.928063511848450e-02, 3.696753084659580e-02, 2.497863433432318e+04, -9.566308555336313e-01, 4.800638299151492e-03, 9.393659884795109e-04
3015, 8.375442028045650e-02, 3.586603328585620e-02, 2.493085341030909e+04, -9.599429515014148e-01, 4.818109070788086e-03, 9.782923682776462e-04
2989, 7.843562960624691e-02, 3.476550802588460e-02, 2.485358209750162e+04, -9.652992732732472e-01, 4.847008338073374e-03, 1.022377099364633e-03
2963, 7.332068681716920e-02, 3.366525098681450e-02, 2.473377118473778e+04, -9.736043709508162e-01, 4.898103990301668e-03, 1.070583687681011e-03
2937, 6.838649511337280e-02, 3.256905823946000e-02, 2.461559280852150e+04, -9.817963038491774e-01, 4.929412782479457e-03, 1.119605883212644e-03
2911, 6.365954875946039e-02, 3.147093951702120e-02, 2.447435596044767e+04, -9.915866125269629e-01, 4.968895462553280e-03, 1.171363391039523e-03
2885, 5.909299850463870e-02, 3.037821687757970e-02, 2.426895906616204e+04, -1.005824391293193e+00, 5.056541895798177e-03, 1.231671812148540e-03
2859, 5.469727516174320e-02, 2.928791008889680e-02, 2.410725694451202e+04, -1.017033319461703e+00, 5.136852710361186e-03, 1.303357291920911e-03
