"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
3483, 2.217475175857540e-01, 5.476229265332220e-02, 2.409607720046799e+04, -1.017808281142188e+00, 4.438697503732636e-03, 4.185031144840227e-04
3457, 2.117756903171540e-01, 5.379525944590570e-02, 2.412778730357204e+04, -1.015610188351058e+00, 4.468596409598580e-03, 4.404066115424227e-04
3431, 2.020680904388430e-01, 5.282276868820190e-02, 2.413120269566358e+04, -1.015373438924206e+00, 4.512339252642818e-03, 4.634093771315015e-04
3405, 1.926559209823610e-01, 5.183169245719910e-02, 2.413290455114749e+04, -1.015255469069033e+00, 4.553188958995069e-03, 4.870149959848581e-04
3379, 1.835020482540130e-01, 5.083692073822020e-02, 2.412835630416658e+04, -1.015570746154957e+00, 4.596782706042429e-03, 5.100667911179444e-04
3353, 1.746245622634890e-01, 4.983090236783030e-02, 2.415225579374278e+04, -1.013914072394649e+00, 4.639587171033172e-03, 5.370889917180117e-04
3327, 1.660248339176180e-01, 4.881371930241580e-02, 2.417981937400941e+04, -1.012003409824962e+00, 4.674418383177251e-03, 5.625875868517571e-04
3301, 1.576814949512480e-01, 4.779172688722610e-02, 2.426499871425668e+04, -1.006098916448312e+00, 4.711304475197042e-03, 5.949294760136562e-04
3275, 1.496536135673520e-01, 4.674641042947770e-02, 2.441191939731258e+04, -9.959146135706639e-01, 4.735691640595009e-03, 6.313762691161592e-04
3249, 1.419069468975070e-01, 4.568861797451970e-02, 2.456383067518102e+04, -9.853843707745954e-01, 4.734538443169818e-03, 6.629034410164835e-04
3223, 1.344466507434840e-01, 4.461721703410150e-02, 2.473300821439614e+04, -9.736572588144192e-01, 4.711643666160637e-03, 6.942529992638971e-04
3197, 1.272729039192200e-01, 4.353231564164160e-02, 2.487863348428055e+04, -9.635627518716640e-01, 4.680386244232622e-03, 7.226683386577776e-04
3171, 1.203565001487730e-01, 4.244164749979970e-02, 2.493452058957024e+04, -9.596887485973350e-01, 4.690242016230787e-03, 7.510689025803722e-04
3145, 1.136637628078460e-01, 4.135302454233170e-02, 2.492847552489873e+04, -9.601077826519625e-01, 4.733704932829487e-03, 7.843279726184204e-04
3119, 1.072062253952030e-01, 4.026277735829350e-02, 2.495458884237968e+04, -9.582976499406616e-01, 4.762464918120728e-03, 8.238075993291215e-04
3093, 1.010102331638340e-01, 3.916422650218010e-02, 2.496356097296661e+04, -9.576757164357628e-01, 4.788211315763500e-03, 8.614362708949464e-04
3067, 9.501701593399051e-02, 3.806984424591060e-02, 2.496485055653351e+04, -9.575863245995818e-01, 4.804960617541540e-03, 8.998634116018946e-04
3041, 8.928063511848450e-02, 3.696753084659580e-02, 2.497863433383704e+04, -9.566308555673299e-01, 4.800638299170742e-03, 9.393659884832776e-04
3015, 8.375442028045650e-02, 3.586603328585620e-02, 2.493085340981950e+04, -9.599429515353520e-01, 4.818109070811989e-03, 9.782923682824993e-04
2989, 7.843562960624691e-02, 3.476550802588460e-02, 2.485358209701638e+04, -9.652992733068827e-01, 4.847008338098206e-03, 1.022377099369871e-03
