"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
1143, 2.344165146350860e-01, -5.327359586954120e-02, 3.667831290905838e+04, -1.456281587186140e-01, 3.596582660083049e-03, -2.605406294345249e-04, -4.783185980535493e+02
1117, 2.482267022132870e-01, -5.422909930348400e-02, 3.633433284720364e+04, -1.694722973445422e-01, 3.628683506917317e-03, -2.354049246364490e-04, -4.867903159893872e+02
1091, 2.625653147697450e-01, -5.509970337152480e-02, 3.599958699042282e+04, -1.926763358882293e-01, 3.646543303350752e-03, -2.060931331042033e-04, -4.911895556099457e+02
1065, 2.774220108985900e-01, -5.587914213538170e-02, 3.569193714915030e+04, -2.140021226910836e-01, 3.656918009628020e-03, -1.772176517752701e-04, -4.935692909211615e+02
1039, 2.927811741828920e-01, -5.656399205327030e-02, 3.536489457406304e+04, -2.366721822721947e-01, 3.675026943357947e-03, -1.475692942455596e-04, -5.006387830394837e+02
1013, 3.086399734020230e-01, -5.713268741965290e-02, 3.500517168255513e+04, -2.616075882541162e-01, 3.701910260852323e-03, -1.130223374803691e-04, -5.113860685020402e+02
987, 3.249974250793460e-01, -5.754758045077320e-02, 3.464802002376119e+04, -2.863647605647574e-01, 3.708385363879585e-03, -7.078895017377273e-05, -5.177586832150610e+02
961, 3.418258726596830e-01, -5.776616930961610e-02, 3.435455471100642e+04, -3.067072989127538e-01, 3.699836208514573e-03, -2.605625603598107e-05, -5.192646802173475e+02
935, 3.590588271617890e-01, -5.778745934367180e-02, 3.411390588579188e+04, -3.233886842164331e-01, 3.663597197628331e-03, 2.349937221280027e-05, -5.140296233399959e+02
909, 3.766198158264160e-01, -5.754299089312550e-02, 3.396084611332748e+04, -3.339985387906069e-01, 3.595659897097749e-03, 7.675812666053616e-05, -4.979996926066884e+02
883, 3.944020271301270e-01, -5.703297257423400e-02, 3.395214914867906e+04, -3.346013982400285e-01, 3.503761127632960e-03, 1.290459926873031e-04, -4.701249590205136e+02
857, 4.122794568538670e-01, -5.622962117195130e-02, 3.409866996181124e+04, -3.244448136953617e-01, 3.395592415751995e-03, 1.765375905167136e-04, -4.333629175695413e+02
831, 4.301885962486270e-01, -5.517242103815080e-02, 3.438068756955471e+04, -3.048958116464360e-01, 3.283603917501830e-03, 2.155265784604358e-04, -3.948568225879910e+02
805, 4.480717480182650e-01, -5.388031527400020e-02, 3.472444424999566e+04, -2.810671574569256e-01, 3.156766959121733e-03, 2.485443572744753e-04, -3.564545607591063e+02
779, 4.658685922622680e-01, -5.236319825053220e-02, 3.512649790637989e+04, -2.531974516774802e-01, 3.024702841254591e-03, 2.748082014568370e-04, -3.190389876409399e+02
753, 4.835794866085050e-01, -5.065427348017690e-02, 3.558323544862628e+04, -2.215371478381610e-01, 2.894803423637089e-03, 2.929357005036920e-04, -2.845244885306927e+02
727, 5.012295246124270e-01, -4.878489673137660e-02, 3.605012538796647e+04, -1.891730963386297e-01, 2.767715133632293e-03, 3.051901183540067e-04, -2.545039363088331e+02
701, 5.188096761703490e-01, -4.676951467990880e-02, 3.651420302171937e+04, -1.570039892900074e-01, 2.644317943124638e-03, 3.132090662786564e-04, -2.280051806200408e+02
