"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
3483, 2.217475175857540e-01, 5.476229265332220e-02, 2.409619000809527e+04, -1.017800461500874e+00, 4.438738572489192e-03, 4.185069866565490e-04, -7.846340223716177e+02
3457, 2.117756903171540e-01, 5.379525944590570e-02, 2.412789976431772e+04, -1.015602392755013e+00, 4.468638814701517e-03, 4.404107908161777e-04, -7.899250192432409e+02
3431, 2.020680904388430e-01, 5.282276868820190e-02, 2.413131492981683e+04, -1.015365659035180e+00, 4.512383169221074e-03, 4.634138872875504e-04, -8.033044899419810e+02
3405, 1.926559209823610e-01, 5.183169245719910e-02, 2.413301734812183e+04, -1.015247650166163e+00, 4.553233680985664e-03, 4.870197795069711e-04, -8.186424715680729e+02
3379, 1.835020482540130e-01, 5.083692073822020e-02, 2.412847105485916e+04, -1.015562791823516e+00, 4.596826774346269e-03, 5.100716810115432e-04, -8.377373721521506e+02
3353, 1.746245622634890e-01, 4.983090236783030e-02, 2.415237425437972e+04, -1.013905860895896e+00, 4.639630096884576e-03, 5.370939609106142e-04, -8.582078374571636e+02
3327, 1.660248339176180e-01, 4.881371930241580e-02, 2.417994331062658e+04, -1.011994818740163e+00, 4.674459999660662e-03, 5.625925955854766e-04, -8.794055533247422e+02
3301, 1.576814949512480e-01, 4.779172688722610e-02, 2.426513005378285e+04, -1.006089812205897e+00, 4.711344828929279e-03, 5.949345717625940e-04, -8.998864970275140e+02
3275, 1.496536135673520e-01, 4.674641042947770e-02, 2.441206021989812e+04, -9.959048519779912e-01, 4.735731059963452e-03, 6.313815246217258e-04, -9.103298525623751e+02
3249, 1.419069468975070e-01, 4.568861797451970e-02, 2.456398271982516e+04, -9.853738312870666e-01, 4.734577097996955e-03, 6.629088532479457e-04, -9.120841180778668e+02
3223, 1.344466507434840e-01, 4.461721703410150e-02, 2.473317343225551e+04, -9.736458061810286e-01, 4.711680872444916e-03, 6.942584815491212e-04, -9.090422664235546e+02
3197, 1.272729039192200e-01, 4.353231564164160e-02, 2.487881443251383e+04, -9.635502088343287e-01, 4.680420654685032e-03, 7.226736517544277e-04, -9.034724959117486e+02
3171, 1.203565001487730e-01, 4.244164749979970e-02, 2.493471902785994e+04, -9.596749931777250e-01, 4.690272348754096e-03, 7.510737598595734e-04, -9.049154915287751e+02
3145, 1.136637628078460e-01, 4.135302454233170e-02, 2.492869223251257e+04, -9.600927608325065e-01, 4.733729503502720e-03, 7.843320437353565e-04, -9.204380774248123e+02
3119, 1.072062253952030e-01, 4.026277735829350e-02, 2.495482407408332e+04, -9.582813440614179e-01, 4.762482129477666e-03, 8.238105765366987e-04, -9.346055957298448e+02
3093, 1.010102331638340e-01, 3.916422650218010e-02, 2.496381348924157e+04, -9.576582124181375e-01, 4.788220509572901e-03, 8.614379249324070e-04, -9.469950245422910e+02
3067, 9.501701593399051e-02, 3.806984424591060e-02, 2.496511699367946e+04, -9.575678556098126e-01, 4.804963962784324e-03, 8.998640380922708e-04, -9.597636485403400e+02
