"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
1143, 2.344165146350860e-01, -5.327359586954120e-02, 3.674160548014288e+04, -1.412408205956055e-01, 3.618707028907328e-03, -2.621433444348765e-04, -6.948455396921759e+02
1117, 2.482267022132870e-01, -5.422909930348400e-02, 3.639811255947266e+04, -1.650511913866438e-01, 3.653612699756143e-03, -2.370221653658442e-04, -7.054659513534389e+02
1091, 2.625653147697450e-01, -5.509970337152480e-02, 3.606372187070768e+04, -1.882306102609245e-01, 3.671962317242472e-03, -2.075297495865992e-04, -7.106713709389481e+02
1065, 2.774220108985900e-01, -5.587914213538170e-02, 3.575726414679344e+04, -2.094737614267127e-01, 3.681082562398718e-03, -1.783886885026312e-04, -7.129796345894202e+02
1039, 2.927811741828920e-01, -5.656399205327030e-02, 3.543217931070426e+04, -2.320081137234776e-01, 3.699846163791082e-03, -1.485659005016477e-04, -7.212463839294056e+02
1013, 3.086399734020230e-01, -5.713268741965290e-02, 3.507445147327094e+04, -2.568052258006178e-01, 3.732316662426747e-03, -1.139506697029651e-04, -7.359542539008025e+02
987, 3.249974250793460e-01, -5.754758045077320e-02, 3.471932407553301e+04, -2.814220796260128e-01, 3.747914153783739e-03, -7.154351078826813e-05, -7.471794007794714e+02
961, 3.418258726596830e-01, -5.776616930961610e-02, 3.442825842462353e+04, -3.015982773163965e-01, 3.748865720018517e-03, -2.640154848490781e-05, -7.547061408642428e+02
935, 3.590588271617890e-01, -5.778745934367180e-02, 3.418991007761611e+04, -3.181201972110031e-01, 3.724621362739717e-03, 2.389079886059228e-05, -7.567319987509431e+02
909, 3.766198158264160e-01, -5.754299089312550e-02, 3.403863951473521e+04, -3.286060266858454e-01, 3.671390132485738e-03, 7.837477316390413e-05, -7.470038671580309e+02
883, 3.944020271301270e-01, -5.703297257423400e-02, 3.403079371772632e+04, -3.291498845783704e-01, 3.596998417156743e-03, 1.324799877982080e-04, -7.233839419035758e+02
857, 4.122794568538670e-01, -5.622962117195130e-02, 3.417680613218954e+04, -3.190285414028525e-01, 3.508214293736621e-03, 1.823928265240275e-04, -6.872745817226220e+02
831, 4.301885962486270e-01, -5.517242103815080e-02, 3.445708839119795e+04, -2.995998309068152e-01, 3.416670561114054e-03, 2.242607008227870e-04, -6.469168452229047e+02
805, 4.480717480182650e-01, -5.388031527400020e-02, 3.479842797955810e+04, -2.759387256105038e-01, 3.310331718448046e-03, 2.606350991318936e-04, -6.047797319044575e+02
779, 4.658685922622680e-01, -5.236319825053220e-02, 3.519779511373857e+04, -2.482552451823264e-01, 3.198066521365957e-03, 2.905590912565046e-04, -5.617676391196178e+02
753, 4.835794866085050e-01, -5.065427348017690e-02, 3.565164460434682e+04, -2.167951363870086e-01, 3.085787281701300e-03, 3.122620526110990e-04, -5.206303420745245e+02
727, 5.012295246124270e-01, -4.878489673137660e-02, 3.611564923288593e+04, -1.846310899411102e-01, 2.977791846436109e-03, 3.283548350059969e-04, -4.836624374772763e+02
701, 5.188096761703490e-01, -4.676951467990880e-02, 3.657701000761478e+04, -1.526503111428149e-01, 2.874475491432064e-03, 3.404703231898327e-04, -4.504678796164265e+02
675, 5.363336801528930e-01, -4.462694749236110e-02, 3.704435604684286e+04, -1.202546435406072e-01, 2.773861128059858e-03, 3.481830668092995e-04, -4.187539579855831e+02
649, 5.538190603256230e-01, -4.237503558397290e-02, 3.751758801263009e+04, -8.745097307898508e-02, 2.673791490411439e-03, 3.506332842570901e-04, -3.888965235678850e+02
623, 5.713157057762150e-01, -4.003950580954550e-02, 3.797113798347725e+04, -5.601162650653058e-02, 2.584184283249177e-03, 3.505570713310996e-04, -3.622808052312723e+02
597, 5.888153314590450e-01, -3.762762248516080e-02, 3.841415716888585e+04, -2.530225685914323e-02, 2.507795623501040e-03, 3.436472276907927e-04, -3.433655737671269e+02
571, 6.065399646759030e-01, -3.521266952157020e-02, 3.879630689665575e+04, 1.187740949666623e-03, 2.451880836324670e-03, 3.369742996716935e-04, -3.337173934192228e+02
545, 6.243042349815370e-01, -3.275020420551300e-02, 3.908536196771175e+04, 2.122456851351931e-02, 2.389448741906004e-03, 3.421609158656151e-04, -3.168914901084402e+02
519, 6.418011188507080e-01, -3.016339242458340e-02, 3.949406028157956e+04, 4.955487114647411e-02, 2.310327964464395e-03, 3.392083543931486e-04, -2.907017176473730e+02
493, 6.594728827476500e-01, -2.758665196597580e-02, 3.995833796306718e+04, 8.173784517881887e-02, 2.236661354970764e-03, 3.236199965190348e-04, -2.701189647589159e+02
467, 6.773055195808410e-01, -2.502630092203620e-02, 4.029749647987434e+04, 1.052477621411842e-01, 2.193791640182610e-03, 3.144494970893480e-04, -2.547102795890538e+02
441, 6.951977014541630e-01, -2.246599644422530e-02, 4.061950142228106e+04, 1.275686212153424e-01, 2.150229260186603e-03, 3.045976202674733e-04, -2.409317076356976e+02
415, 7.132214307785030e-01, -1.993851736187930e-02, 4.094660364272705e+04, 1.502428153157463e-01, 2.104594815769856e-03, 2.920285708814053e-04, -2.284739437784309e+02
389, 7.313483357429500e-01, -1.744982041418550e-02, 4.124385084459042e+04, 1.708475080679459e-01, 2.062745184715374e-03, 2.800223054555506e-04, -2.167795105853679e+02
363, 7.495508193969730e-01, -1.500672101974490e-02, 4.153812423199852e+04, 1.912460608370981e-01, 2.020314444298622e-03, 2.658799219143133e-04, -2.054932542778696e+02
337, 7.678796052932740e-01, -1.264218706637620e-02, 4.181463654517000e+04, 2.104134448171071e-01, 1.981934630751757e-03, 2.500366960610777e-04, -1.952049688138134e+02
311, 7.863141298294070e-01, -1.036873925477270e-02, 4.207544814507468e+04, 2.284924808805500e-01, 1.949977757298557e-03, 2.314973801961608e-04, -1.874571682874559e+02
1169, 2.210974693298340e-01, -5.226382613182070e-02, 3.703305566938651e+04, -1.210379673331020e-01, 3.603504709581245e-03, -2.831266364591917e-04, -6.873427706187210e+02
2313, 1.973092555999760e-03, 5.815388169139620e-03, 3.588670769570575e+04, -2.005009450726050e-01, 4.005449343127718e-03, 5.863590224255058e-03, -2.291914692265979e+03
2339, 2.858132123947140e-03, 6.970721762627360e-03, 3.358206070429033e+04, -3.602553274947586e-01, 4.274360034260897e-03, 5.013501804152904e-03, -1.952104636553431e+03
2287, 1.276999711990360e-03, 4.656096920371060e-03, 3.868628665547233e+04, -6.438683292164318e-03, 3.351523506872014e-03, 6.271294950803692e-03, -2.264276098442985e+03
2261, 7.326900959014890e-04, 3.494375152513380e-03, 4.166444965225961e+04, 2.000027335827299e-01, 2.468719503563265e-03, 6.160522228029784e-03, -1.967234225859296e+03
2235, 3.451704978942870e-04, 2.330780262127520e-03, 4.469271826573565e+04, 4.099173903420016e-01, 1.513947853577256e-03, 5.617531733661362e-03, -1.550578250829028e+03
2209, 1.051127910614010e-04, 1.165737863630060e-03, 4.697674818296851e+04, 5.682426307022008e-01, 7.417990491756024e-04, 5.009033485860011e-03, -1.223689088794915e+03
2183, 0.000000000000000e+00, 0.000000000000000e+00, 5.039497417621599e+04, 8.051884990129158e-01, -1.091218150304227e-04, 4.076950579366283e-03, -7.969362552997129e+02
2157, 1.753866672515870e-04, -1.459796912968160e-03, 5.303018659157502e+04, 9.878571391712598e-01, -5.130711416361860e-04, 2.776983684779349e-03, -3.179094029139787e+02
2131, 5.391836166381840e-04, -2.918316749855880e-03, 5.447006006113350e+04, 1.087666827054993e+00, -4.984430361871323e-04, 1.534896222020131e-03, -3.521867759267379e+01
2105, 1.121968030929570e-03, -4.374681971967220e-03, 5.515579401838285e+04, 1.135200790067259e+00, -2.289520719950203e-04, 4.850316741487732e-04, 7.279293412703207e+01
2079, 1.912891864776610e-03, -5.828497931361200e-03, 5.512232422245242e+04, 1.132880718230410e+00, 2.228353496354816e-04, -3.408512494068693e-04, 6.464847205689910e+01
2053, 3.018766641616820e-03, -7.276044692844150e-03, 5.447303378599345e+04, 1.087872960827438e+00, 7.790928185794207e-04, -8.801042852505138e-04, -5.078044277722967e+00
2027, 4.468053579330440e-03, -8.714943192899231e-03, 5.351874142034611e+04, 1.021722965582163e+00, 1.292267325029851e-03, -1.174678371017769e-03, -8.402245999487043e+01
2001, 6.177186965942380e-03, -1.014706678688530e-02, 5.259042161369993e+04, 9.573733458992238e-01, 1.677070186626192e-03, -1.335024747421651e-03, -1.475790469359272e+02
1975, 8.062899112701419e-03, -1.157660502940420e-02, 5.159601899246581e+04, 8.884429729501494e-01, 1.981478539021682e-03, -1.416406771008498e-03, -1.980314319078961e+02
